timestamp;body_idx;PELVIS (c);PELVIS (x);PELVIS (y);PELVIS (z);SPINE_NAVEL (c);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_NAVEL (z);SPINE_CHEST (c);SPINE_CHEST (x);SPINE_CHEST (y);SPINE_CHEST (z);NECK (c);NECK (x);NECK (y);NECK (z);CLAVICLE_LEFT (c);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);CLAVICLE_LEFT (z);SHOULDER_LEFT (c);SHOULDER_LEFT (x);SHOULDER_LEFT (y);SHOULDER_LEFT (z);ELBOW_LEFT (c);ELBOW_LEFT (x);ELBOW_LEFT (y);ELBOW_LEFT (z);WRIST_LEFT (c);WRIST_LEFT (x);WRIST_LEFT (y);WRIST_LEFT (z);HAND_LEFT (c);HAND_LEFT (x);HAND_LEFT (y);HAND_LEFT (z);HANDTIP_LEFT (c);HANDTIP_LEFT (x);HANDTIP_LEFT (y);HANDTIP_LEFT (z);THUMB_LEFT (c);THUMB_LEFT (x);THUMB_LEFT (y);THUMB_LEFT (z);CLAVICLE_RIGHT (c);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);CLAVICLE_RIGHT (z);SHOULDER_RIGHT (c);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);SHOULDER_RIGHT (z);ELBOW_RIGHT (c);ELBOW_RIGHT (x);ELBOW_RIGHT (y);ELBOW_RIGHT (z);WRIST_RIGHT (c);WRIST_RIGHT (x);WRIST_RIGHT (y);WRIST_RIGHT (z);HAND_RIGHT (c);HAND_RIGHT (x);HAND_RIGHT (y);HAND_RIGHT (z);HANDTIP_RIGHT (c);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);HANDTIP_RIGHT (z);THUMB_RIGHT (c);THUMB_RIGHT (x);THUMB_RIGHT (y);THUMB_RIGHT (z);HIP_LEFT (c);HIP_LEFT (x);HIP_LEFT (y);HIP_LEFT (z);KNEE_LEFT (c);KNEE_LEFT (x);KNEE_LEFT (y);KNEE_LEFT (z);ANKLE_LEFT (c);ANKLE_LEFT (x);ANKLE_LEFT (y);ANKLE_LEFT (z);FOOT_LEFT (c);FOOT_LEFT (x);FOOT_LEFT (y);FOOT_LEFT (z);HIP_RIGHT (c);HIP_RIGHT (x);HIP_RIGHT (y);HIP_RIGHT (z);KNEE_RIGHT (c);KNEE_RIGHT (x);KNEE_RIGHT (y);KNEE_RIGHT (z);ANKLE_RIGHT (c);ANKLE_RIGHT (x);ANKLE_RIGHT (y);ANKLE_RIGHT (z);FOOT_RIGHT (c);FOOT_RIGHT (x);FOOT_RIGHT (y);FOOT_RIGHT (z);HEAD (c);HEAD (x);HEAD (y);HEAD (z);NOSE (c);NOSE (x);NOSE (y);NOSE (z);EYE_LEFT (c);EYE_LEFT (x);EYE_LEFT (y);EYE_LEFT (z);EAR_LEFT (c);EAR_LEFT (x);EAR_LEFT (y);EAR_LEFT (z);EYE_RIGHT (c);EYE_RIGHT (x);EYE_RIGHT (y);EYE_RIGHT (z);EAR_RIGHT (c);EAR_RIGHT (x);EAR_RIGHT (y);EAR_RIGHT (z)
267666;1;2;162.617081;125.358658;1984.039307;2;116.114052;12.666360;1920.645386;2;75.964882;-72.169853;1863.566040;2;11.007749;-182.674377;1756.188843;2;45.073299;-167.938080;1763.083252;2;146.143646;-130.926758;1739.902954;2;228.456375;54.524109;1804.189209;2;145.653305;202.259171;1747.363159;2;118.944122;270.883972;1738.551758;2;128.379608;285.697052;1819.900757;2;147.157486;222.543259;1839.206665;2;-1.165003;-162.103226;1785.765991;2;-81.097649;-115.353386;1826.811157;2;-105.679817;85.776558;1904.095581;2;-85.248291;263.121124;1874.843750;2;-31.670097;304.651001;1917.050293;0;14.590238;345.620972;1970.652100;2;-15.728198;239.988022;1892.513306;2;223.912750;119.012894;1950.355957;2;259.381805;421.470947;1902.055298;2;348.235046;608.828918;2111.424805;2;350.896545;744.866211;2063.405518;2;107.344109;131.080917;2014.412842;1;87.890839;438.466125;2012.607056;1;225.836304;594.898987;2225.139160;1;199.490723;724.681763;2215.885742;2;-15.341215;-216.016327;1709.795410;2;-77.287865;-156.259399;1620.863525;2;-52.352268;-189.247055;1608.678589;2;28.151472;-231.971619;1643.710205;2;-87.979492;-194.186813;1626.786011;2;-81.912682;-261.976868;1701.290771
301011;1;2;179.477844;165.818756;2070.403809;2;119.459526;41.801624;1991.481812;2;69.037300;-50.361828;1920.232300;2;-14.468461;-164.429520;1788.511719;2;26.232347;-152.917740;1799.183716;2;140.033508;-110.208420;1761.608643;2;260.873962;85.082474;1849.626343;2;148.098740;257.798950;1841.820312;2;70.223122;269.227234;1875.721802;2;39.505619;327.979584;1945.384155;2;97.970428;218.420776;1952.960327;2;-27.336805;-139.720764;1822.495483;2;-107.241692;-65.325821;1864.683228;2;-106.578270;175.245529;1934.850342;2;-76.906044;381.930359;1944.683350;0;-85.334221;473.681030;1949.731079;0;-85.292969;567.122803;1964.010498;2;-33.035931;496.500061;1919.174561;2;252.077286;152.025223;2036.868530;2;305.766907;495.519135;1958.918091;2;374.875977;662.612183;2247.449463;2;380.926147;827.485168;2271.521484;2;114.011734;178.256973;2100.643799;1;105.173790;533.711853;2116.376709;1;246.682220;706.273438;2378.286133;1;244.357590;859.564575;2372.966309;2;-46.411049;-197.482117;1732.185669;2;-91.130478;-146.421082;1606.306763;2;-62.689186;-187.309097;1605.417847;2;16.805847;-231.111847;1672.437500;2;-107.507523;-187.860306;1617.918335;2;-123.171654;-249.206543;1715.840332
367855;1;2;190.189926;108.256905;2229.564209;2;136.071625;-13.810307;2111.601074;2;85.476723;-62.493824;1987.671021;2;1.023598;-162.058563;1814.567993;2;45.837372;-153.736526;1832.416870;2;175.013840;-127.552208;1777.560547;2;299.527924;103.926285;1861.686768;2;146.167480;270.550385;1910.363281;2;55.978039;274.054993;1943.550659;0;14.478109;348.880676;2009.306152;2;21.757641;282.407440;1959.431396;2;-15.816626;-139.310654;1854.945679;2;-108.551338;-56.178967;1896.643433;2;-105.662621;217.691742;1960.352539;2;-64.637009;448.502075;1968.278320;0;-62.837048;551.356812;1980.064453;0;-81.809418;655.227722;1969.980347;0;-23.194544;572.567627;1975.351318;2;275.157593;101.570259;2197.502686;2;289.567261;389.330505;1920.318359;2;350.065552;615.217224;2222.491455;2;388.822052;787.890259;2161.785645;2;113.570831;114.286552;2258.475586;1;79.280205;490.527252;2128.984619;1;214.769897;650.569702;2453.191650;1;213.474503;818.538025;2415.574707;2;-30.087526;-187.455795;1743.559570;2;-95.036232;-144.398453;1603.272461;2;-64.229179;-191.037537;1603.845337;2;32.103378;-234.332947;1673.660767;2;-112.600281;-188.643661;1623.361328;2;-118.726204;-244.580078;1741.491455
401177;1;2;204.171707;93.706436;2291.637207;2;139.043472;-17.263636;2153.787842;2;92.953362;-72.755470;2021.415039;2;9.188324;-163.558868;1828.033569;2;55.727280;-158.931473;1850.320557;2;188.038651;-136.974136;1780.738159;2;313.803986;110.427544;1871.784790;2;142.945267;278.686584;1922.723511;2;53.261406;275.661163;1970.750366;0;29.380356;351.292603;2052.930420;0;21.216936;289.428436;1997.692261;2;-9.804063;-140.163666;1870.642212;2;-118.514786;-56.873589;1894.443115;2;-111.258354;232.439880;1963.852661;2;-58.459103;474.901123;1971.233521;0;-56.978218;583.832336;1983.114502;0;-72.002945;694.046204;1967.958496;0;-2.661801;604.667236;1993.757324;2;294.074768;64.746536;2272.474609;2;288.966187;323.054443;1937.362061;2;340.081879;622.128235;2204.712402;2;339.534149;731.712830;2039.789185;2;123.102158;119.820854;2308.916748;1;118.736893;478.965881;2086.071533;1;236.183777;650.395752;2437.939209;1;228.727036;807.104797;2345.328857;2;-20.351765;-184.779022;1749.727783;2;-99.061180;-142.196716;1605.372559;2;-68.143433;-192.635880;1605.368408;2;37.768215;-239.359146;1672.852295;2;-117.438469;-187.529663;1629.819458;2;-115.973625;-241.890579;1757.180908
434522;1;2;204.170166;93.707939;2291.641357;2;139.042053;-17.260790;2153.791504;2;92.952072;-72.750351;2021.417847;2;9.187073;-163.548737;1828.034424;2;55.725990;-158.921661;1850.321289;2;188.037506;-136.961395;1780.740479;2;313.791565;110.442680;1871.794556;2;142.919403;278.692108;1922.718018;2;53.226707;275.655273;1970.727173;0;29.324135;351.284424;2052.902832;0;21.162577;289.393951;1997.627441;2;-9.805285;-140.154846;1870.643555;2;-118.516983;-56.867405;1894.448120;2;-111.266853;232.441284;1963.876221;2;-58.479130;474.903961;1971.279907;0;-57.006081;583.832886;1983.181763;0;-72.039207;694.048645;1968.049194;0;-2.693773;604.669189;1993.854980;2;294.073120;64.748566;2272.478271;2;288.962708;323.062317;1937.371216;2;340.077637;622.129822;2204.727539;2;339.529388;731.713318;2039.804199;2;123.100708;119.821892;2308.921631;1;118.761749;478.942688;2086.037842;1;236.219101;650.421387;2437.877441;1;228.776077;807.113403;2345.237549;2;-20.353106;-184.766846;1749.728149;2;-99.059105;-142.178177;1605.373413;2;-68.141197;-192.617142;1605.367676;2;37.768841;-239.343079;1672.851929;2;-117.436760;-187.512268;1629.817749;2;-115.974754;-241.879013;1757.176392
467844;1;2;204.170166;93.707939;2291.641357;2;139.042053;-17.260790;2153.791504;2;92.952072;-72.750351;2021.417847;2;9.187073;-163.548737;1828.034424;2;55.725990;-158.921661;1850.321289;2;188.037506;-136.961395;1780.740479;2;313.791565;110.442680;1871.794556;2;142.919403;278.692108;1922.718018;2;53.226707;275.655273;1970.727173;0;29.324135;351.284424;2052.902832;0;21.162577;289.393951;1997.627441;2;-9.805285;-140.154846;1870.643555;2;-118.516983;-56.867405;1894.448120;2;-111.266853;232.441284;1963.876221;2;-58.479130;474.903961;1971.279907;0;-57.006081;583.832886;1983.181763;0;-72.039207;694.048645;1968.049194;0;-2.693773;604.669189;1993.854980;2;294.073120;64.748566;2272.478271;2;288.962708;323.062317;1937.371216;2;340.077637;622.129822;2204.727539;2;339.529388;731.713318;2039.804199;2;123.100708;119.821892;2308.921631;1;118.761749;478.942688;2086.037842;1;236.219101;650.421387;2437.877441;1;228.776077;807.113403;2345.237549;2;-20.353106;-184.766846;1749.728149;2;-99.059105;-142.178177;1605.373413;2;-68.141197;-192.617142;1605.367676;2;37.768841;-239.343079;1672.851929;2;-117.436760;-187.512268;1629.817749;2;-115.974754;-241.879013;1757.176392
501188;1;2;204.170166;93.707939;2291.641357;2;139.042053;-17.260790;2153.791504;2;92.952072;-72.750351;2021.417847;2;9.187073;-163.548737;1828.034424;2;55.725990;-158.921661;1850.321289;2;188.037506;-136.961395;1780.740479;2;313.791565;110.442680;1871.794556;2;142.919403;278.692108;1922.718018;2;53.226707;275.655273;1970.727173;0;29.324135;351.284424;2052.902832;0;21.162577;289.393951;1997.627441;2;-9.805285;-140.154846;1870.643555;2;-118.516983;-56.867405;1894.448120;2;-111.266853;232.441284;1963.876221;2;-58.479130;474.903961;1971.279907;0;-57.006081;583.832886;1983.181763;0;-72.039207;694.048645;1968.049194;0;-2.693773;604.669189;1993.854980;2;294.073120;64.748566;2272.478271;2;288.962708;323.062317;1937.371216;2;340.077637;622.129822;2204.727539;2;339.529388;731.713318;2039.804199;2;123.100708;119.821892;2308.921631;1;118.761749;478.942688;2086.037842;1;236.219101;650.421387;2437.877441;1;228.776077;807.113403;2345.237549;2;-20.353106;-184.766846;1749.728149;2;-99.059105;-142.178177;1605.373413;2;-68.141197;-192.617142;1605.367676;2;37.768841;-239.343079;1672.851929;2;-117.436760;-187.512268;1629.817749;2;-115.974754;-241.879013;1757.176392
534511;1;2;204.169724;93.708687;2291.642578;2;139.041458;-17.259762;2153.792480;2;92.951355;-72.748894;2021.418579;2;9.186089;-163.546417;1828.034912;2;55.725052;-158.919357;1850.321777;2;188.036545;-136.958313;1780.741211;2;313.788483;110.446053;1871.797485;2;142.914001;278.694092;1922.717529;2;53.219223;275.655884;1970.722778;0;29.312702;351.285309;2052.897217;0;21.150284;289.388000;1997.612061;2;-9.806223;-140.152817;1870.644287;2;-118.518494;-56.866310;1894.449585;2;-111.271507;232.441635;1963.880981;2;-58.487900;474.905029;1971.289429;0;-57.018028;583.833496;1983.194946;0;-72.055496;694.049377;1968.067261;0;-2.722184;604.674072;1993.842285;2;294.072693;64.749413;2272.479492;2;288.962067;323.064514;1937.373413;2;340.076324;622.130981;2204.730957;2;339.527924;731.714966;2039.807739;2;123.100266;119.822533;2308.923096;1;118.766548;478.938446;2086.031494;1;236.226471;650.427490;2437.865234;1;228.786194;807.115906;2345.219238;2;-20.354237;-184.764175;1749.728638;2;-99.061852;-142.173981;1605.375000;2;-68.143539;-192.612671;1605.368408;2;37.767483;-239.338760;1672.850952;2;-117.438927;-187.508575;1629.818848;2;-115.975380;-241.877228;1757.176758
567855;1;2;204.169724;93.708687;2291.642578;2;139.041458;-17.259762;2153.792480;2;92.951355;-72.748894;2021.418579;2;9.186089;-163.546417;1828.034912;2;55.725052;-158.919357;1850.321777;2;188.036545;-136.958313;1780.741211;2;313.788483;110.446053;1871.797485;2;142.914001;278.694092;1922.717529;2;53.219223;275.655884;1970.722778;0;29.312702;351.285309;2052.897217;0;21.150284;289.388000;1997.612061;2;-9.806223;-140.152817;1870.644287;2;-118.518494;-56.866310;1894.449585;2;-111.271507;232.441635;1963.880981;2;-58.487900;474.905029;1971.289429;0;-57.018028;583.833496;1983.194946;0;-72.055496;694.049377;1968.067261;0;-2.722184;604.674072;1993.842285;2;294.072693;64.749413;2272.479492;2;288.962067;323.064514;1937.373413;2;340.076324;622.130981;2204.730957;2;339.527924;731.714966;2039.807739;2;123.100266;119.822533;2308.923096;1;118.766548;478.938446;2086.031494;1;236.226471;650.427490;2437.865234;1;228.786194;807.115906;2345.219238;2;-20.354237;-184.764175;1749.728638;2;-99.061852;-142.173981;1605.375000;2;-68.143539;-192.612671;1605.368408;2;37.767483;-239.338760;1672.850952;2;-117.438927;-187.508575;1629.818848;2;-115.975380;-241.877228;1757.176758
601177;1;2;204.169724;93.708687;2291.642578;2;139.041458;-17.259762;2153.792480;2;92.951355;-72.748894;2021.418579;2;9.186089;-163.546417;1828.034912;2;55.725052;-158.919357;1850.321777;2;188.036545;-136.958313;1780.741211;2;313.788483;110.446053;1871.797485;2;142.914001;278.694092;1922.717529;2;53.219223;275.655884;1970.722778;0;29.312702;351.285309;2052.897217;0;21.150284;289.388000;1997.612061;2;-9.806223;-140.152817;1870.644287;2;-118.518494;-56.866310;1894.449585;2;-111.271507;232.441635;1963.880981;2;-58.487900;474.905029;1971.289429;0;-57.018028;583.833496;1983.194946;0;-72.055496;694.049377;1968.067261;0;-2.722184;604.674072;1993.842285;2;294.072693;64.749413;2272.479492;2;288.962067;323.064514;1937.373413;2;340.076324;622.130981;2204.730957;2;339.527924;731.714966;2039.807739;2;123.100266;119.822533;2308.923096;1;118.766548;478.938446;2086.031494;1;236.226471;650.427490;2437.865234;1;228.786194;807.115906;2345.219238;2;-20.354237;-184.764175;1749.728638;2;-99.061852;-142.173981;1605.375000;2;-68.143539;-192.612671;1605.368408;2;37.767483;-239.338760;1672.850952;2;-117.438927;-187.508575;1629.818848;2;-115.975380;-241.877228;1757.176758
634522;1;2;204.169724;93.708687;2291.642578;2;139.041458;-17.259762;2153.792480;2;92.951355;-72.748894;2021.418579;2;9.186089;-163.546417;1828.034912;2;55.725052;-158.919357;1850.321777;2;188.036545;-136.958313;1780.741211;2;313.788483;110.446053;1871.797485;2;142.914001;278.694092;1922.717529;2;53.219223;275.655884;1970.722778;0;29.312702;351.285309;2052.897217;0;21.150284;289.388000;1997.612061;2;-9.806223;-140.152817;1870.644287;2;-118.518494;-56.866310;1894.449585;2;-111.271507;232.441635;1963.880981;2;-58.487900;474.905029;1971.289429;0;-57.018028;583.833496;1983.194946;0;-72.055496;694.049377;1968.067261;0;-2.722184;604.674072;1993.842285;2;294.072693;64.749413;2272.479492;2;288.962067;323.064514;1937.373413;2;340.076324;622.130981;2204.730957;2;339.527924;731.714966;2039.807739;2;123.100266;119.822533;2308.923096;1;118.766548;478.938446;2086.031494;1;236.226471;650.427490;2437.865234;1;228.786194;807.115906;2345.219238;2;-20.354237;-184.764175;1749.728638;2;-99.061852;-142.173981;1605.375000;2;-68.143539;-192.612671;1605.368408;2;37.767483;-239.338760;1672.850952;2;-117.438927;-187.508575;1629.818848;2;-115.975380;-241.877228;1757.176758
667844;1;2;204.169724;93.708687;2291.642578;2;139.041458;-17.259762;2153.792480;2;92.951355;-72.748894;2021.418579;2;9.186089;-163.546417;1828.034912;2;55.725052;-158.919357;1850.321777;2;188.036545;-136.958313;1780.741211;2;313.788483;110.446053;1871.797485;2;142.914001;278.694092;1922.717529;2;53.219223;275.655884;1970.722778;0;29.312702;351.285309;2052.897217;0;21.150284;289.388000;1997.612061;2;-9.806223;-140.152817;1870.644287;2;-118.518494;-56.866310;1894.449585;2;-111.271507;232.441635;1963.880981;2;-58.487900;474.905029;1971.289429;0;-57.018028;583.833496;1983.194946;0;-72.055496;694.049377;1968.067261;0;-2.722184;604.674072;1993.842285;2;294.072693;64.749413;2272.479492;2;288.962067;323.064514;1937.373413;2;340.076324;622.130981;2204.730957;2;339.527924;731.714966;2039.807739;2;123.100266;119.822533;2308.923096;1;118.766548;478.938446;2086.031494;1;236.226471;650.427490;2437.865234;1;228.786194;807.115906;2345.219238;2;-20.354237;-184.764175;1749.728638;2;-99.061852;-142.173981;1605.375000;2;-68.143539;-192.612671;1605.368408;2;37.767483;-239.338760;1672.850952;2;-117.438927;-187.508575;1629.818848;2;-115.975380;-241.877228;1757.176758
701188;1;2;204.169724;93.708687;2291.642578;2;139.041458;-17.259762;2153.792480;2;92.951355;-72.748894;2021.418579;2;9.186089;-163.546417;1828.034912;2;55.725052;-158.919357;1850.321777;2;188.036545;-136.958313;1780.741211;2;313.788483;110.446053;1871.797485;2;142.914001;278.694092;1922.717529;2;53.219223;275.655884;1970.722778;0;29.312702;351.285309;2052.897217;0;21.150284;289.388000;1997.612061;2;-9.806223;-140.152817;1870.644287;2;-118.518494;-56.866310;1894.449585;2;-111.271507;232.441635;1963.880981;2;-58.487900;474.905029;1971.289429;0;-57.018028;583.833496;1983.194946;0;-72.055496;694.049377;1968.067261;0;-2.722184;604.674072;1993.842285;2;294.072693;64.749413;2272.479492;2;288.962067;323.064514;1937.373413;2;340.076324;622.130981;2204.730957;2;339.527924;731.714966;2039.807739;2;123.100266;119.822533;2308.923096;1;118.766548;478.938446;2086.031494;1;236.226471;650.427490;2437.865234;1;228.786194;807.115906;2345.219238;2;-20.354237;-184.764175;1749.728638;2;-99.061852;-142.173981;1605.375000;2;-68.143539;-192.612671;1605.368408;2;37.767483;-239.338760;1672.850952;2;-117.438927;-187.508575;1629.818848;2;-115.975380;-241.877228;1757.176758
734511;1;2;202.846008;94.672272;2294.764160;2;137.651688;-16.384706;2156.465332;2;91.625816;-71.920242;2023.721924;2;8.334502;-163.350266;1829.849609;2;54.879612;-158.772461;1852.390015;2;187.774384;-137.645432;1782.961182;2;313.203156;111.366745;1872.063843;2;139.024048;278.375458;1918.164307;2;51.271656;276.214844;1970.107056;0;29.786755;351.581177;2053.522217;0;30.822969;283.131836;2021.025146;2;-10.831550;-139.698715;1872.375488;2;-120.081696;-55.952774;1893.715088;2;-114.633026;234.734253;1960.218262;2;-66.647049;478.610718;1970.933228;0;-65.967560;587.286987;1986.735718;0;-81.533936;698.087646;1975.016479;0;-48.244724;600.118408;1956.937134;2;292.924103;65.476242;2275.746094;2;291.589142;324.138824;1939.729980;2;339.284790;624.735352;2207.311768;2;339.637238;730.786316;2039.593506;2;121.618622;120.999619;2311.913330;1;126.292259;470.109924;2072.062744;1;247.951065;653.318726;2417.519531;1;243.704544;805.493103;2316.738525;2;-20.958109;-184.804108;1751.311279;2;-99.771751;-141.437027;1606.819336;2;-68.653770;-191.900604;1606.538086;2;37.525318;-238.863876;1674.003784;2;-118.097435;-187.067596;1631.011475;2;-116.640793;-242.336884;1758.303955
767855;1;2;202.787506;94.855667;2294.779541;2;137.588821;-16.202085;2156.420166;2;91.560516;-71.744652;2023.638428;2;8.339867;-163.296478;1829.726440;2;54.886684;-158.700562;1852.288940;2;187.844528;-137.580185;1782.897827;2;313.131805;111.603577;1871.955688;2;138.672974;278.501740;1917.717896;2;50.897224;276.215240;1969.664917;0;29.675793;351.722443;2053.058350;0;27.484268;281.646637;2015.669312;2;-10.851368;-139.622833;1872.244385;2;-120.213318;-55.900566;1893.325317;2;-115.265182;235.061462;1958.987427;2;-67.578285;479.084839;1969.090942;0;-67.203583;587.900879;1984.109741;0;-82.591179;698.636902;1971.327148;0;-46.877048;600.987305;1954.447998;2;292.888794;65.652817;2275.761963;2;291.592560;324.642456;1939.866333;2;339.259460;625.109314;2207.749023;2;339.540558;730.888672;2039.801880;2;121.539215;121.189163;2311.928711;1;127.305359;469.061615;2070.127930;1;249.811615;654.557434;2414.180908;1;246.134705;805.891663;2312.040527;2;-20.925318;-184.795181;1751.166992;2;-99.720062;-141.428009;1606.615723;2;-68.544441;-191.873047;1606.328369;2;37.669174;-238.774292;1673.848511;2;-118.018669;-187.099136;1630.782227;2;-116.578415;-242.439850;1758.080933
801177;1;2;202.770935;94.903618;2294.763184;2;137.571274;-16.150803;2156.387939;2;91.544884;-71.683632;2023.592529;2;8.346580;-163.231018;1829.654419;2;54.892628;-158.636520;1852.225098;2;187.875656;-137.483810;1782.874756;2;313.066071;111.730637;1872.033325;2;138.511612;278.574860;1917.696899;2;50.648735;276.289001;1969.506958;0;29.338472;351.864227;2052.824463;0;26.585161;281.409210;2014.433105;2;-10.851461;-139.557571;1872.172852;2;-120.224907;-55.828056;1893.213623;2;-115.314018;235.180908;1958.741699;2;-67.614624;479.220154;1968.723633;0;-67.269188;588.068909;1983.546509;0;-82.567871;698.791565;1970.492310;0;-46.653030;601.161926;1954.031616;2;292.876984;65.698433;2275.745850;2;291.604858;324.727722;1939.852661;2;339.263611;625.188232;2207.776611;2;339.556854;730.987244;2039.829224;2;121.518326;121.239220;2311.911865;1;127.453072;468.938934;2069.828125;1;250.088867;654.767456;2413.681152;1;246.497025;805.980408;2311.341064;2;-20.909063;-184.727173;1751.085693;2;-99.650795;-141.312988;1606.509033;2;-68.480614;-191.765045;1606.220947;2;37.708088;-238.699524;1673.771118;2;-117.965385;-186.989517;1630.659790;2;-116.577820;-242.362869;1757.952759
834522;1;2;202.770844;94.913513;2294.758789;2;137.570068;-16.139954;2156.381592;2;91.543396;-71.671326;2023.584351;2;8.343652;-163.217758;1829.644531;2;54.889938;-158.624542;1852.216064;2;187.877151;-137.473389;1782.870850;2;313.052734;111.746460;1872.041992;2;138.477921;278.584961;1917.657959;2;50.584480;276.301880;1969.417847;0;29.231604;351.898163;2052.706543;0;26.397474;281.380249;2014.150879;2;-10.854225;-139.543320;1872.163086;2;-120.224472;-55.806911;1893.199585;2;-115.297287;235.210205;1958.699463;2;-67.575172;479.248047;1968.650024;0;-67.214592;588.100769;1983.448486;0;-82.490685;698.824219;1970.367676;0;-46.489666;601.190796;1953.895630;2;292.877258;65.707207;2275.741699;2;291.609589;324.742584;1939.849487;2;339.270752;625.203491;2207.776611;2;339.564423;730.998291;2039.824951;2;121.517914;121.250122;2311.907471;1;127.484756;468.917542;2069.772949;1;250.145370;654.804749;2413.588623;1;246.569519;805.995605;2311.213135;2;-20.912069;-184.713562;1751.075073;2;-99.652695;-141.272507;1606.504517;2;-68.488274;-191.728546;1606.209595;2;37.697243;-238.684006;1673.752197;2;-117.972221;-186.950027;1630.650391;2;-116.588142;-242.339111;1757.937622
867855;1;2;202.772232;94.916664;2294.754150;2;137.571548;-16.136736;2156.375977;2;91.545357;-71.667595;2023.577637;2;8.346766;-163.213821;1829.636230;2;54.892971;-158.621307;1852.208374;2;187.882584;-137.471878;1782.865967;2;313.055511;111.750137;1872.038330;2;138.475479;278.587891;1917.642334;2;50.576187;276.302551;1969.392944;0;29.208351;351.898468;2052.678467;0;26.344992;281.360291;2014.050903;2;-10.851461;-139.538788;1872.154419;2;-120.219452;-55.797779;1893.188110;2;-115.279434;235.223679;1958.673218;2;-67.539604;479.259857;1968.604736;0;-67.166626;588.116150;1983.380127;0;-82.417862;698.839905;1970.269043;0;-46.399197;601.201538;1953.831299;2;292.879028;65.709801;2275.737549;2;291.612671;324.745422;1939.843384;2;339.277313;625.207275;2207.771240;2;339.571564;731.002563;2039.819214;2;121.518982;121.253777;2311.902588;1;127.503159;468.904144;2069.740967;1;250.175003;654.822449;2413.537842;1;246.607742;806.001709;2311.143555;2;-20.908203;-184.709549;1751.065918;2;-99.640419;-141.263626;1606.491577;2;-68.477654;-191.720963;1606.197510;2;37.703270;-238.681259;1673.744873;2;-117.962852;-186.941010;1630.636108;2;-116.587051;-242.332031;1757.923218
901188;1;2;202.772232;94.916664;2294.754150;2;137.571548;-16.136736;2156.375977;2;91.545357;-71.667595;2023.577637;2;8.346766;-163.213821;1829.636230;2;54.892971;-158.621307;1852.208374;2;187.882584;-137.471878;1782.865967;2;313.055511;111.750137;1872.038330;2;138.475479;278.587891;1917.642334;2;50.576187;276.302551;1969.392944;0;29.208351;351.898468;2052.678467;0;26.344992;281.360291;2014.050903;2;-10.851461;-139.538788;1872.154419;2;-120.219452;-55.797779;1893.188110;2;-115.279434;235.223679;1958.673218;2;-67.539604;479.259857;1968.604736;0;-67.166626;588.116150;1983.380127;0;-82.417862;698.839905;1970.269043;0;-46.399197;601.201538;1953.831299;2;292.879028;65.709801;2275.737549;2;291.612671;324.745422;1939.843384;2;339.277313;625.207275;2207.771240;2;339.571564;731.002563;2039.819214;2;121.518982;121.253777;2311.902588;1;127.503159;468.904144;2069.740967;1;250.175003;654.822449;2413.537842;1;246.607742;806.001709;2311.143555;2;-20.908203;-184.709549;1751.065918;2;-99.640419;-141.263626;1606.491577;2;-68.477654;-191.720963;1606.197510;2;37.703270;-238.681259;1673.744873;2;-117.962852;-186.941010;1630.636108;2;-116.587051;-242.332031;1757.923218
934511;1;2;202.772232;94.916664;2294.754150;2;137.571548;-16.136736;2156.375977;2;91.545357;-71.667595;2023.577637;2;8.346766;-163.213821;1829.636230;2;54.892971;-158.621307;1852.208374;2;187.882584;-137.471878;1782.865967;2;313.055511;111.750137;1872.038330;2;138.475479;278.587891;1917.642334;2;50.576187;276.302551;1969.392944;0;29.208351;351.898468;2052.678467;0;26.344992;281.360291;2014.050903;2;-10.851461;-139.538788;1872.154419;2;-120.219452;-55.797779;1893.188110;2;-115.279434;235.223679;1958.673218;2;-67.539604;479.259857;1968.604736;0;-67.166626;588.116150;1983.380127;0;-82.417862;698.839905;1970.269043;0;-46.399197;601.201538;1953.831299;2;292.879028;65.709801;2275.737549;2;291.612671;324.745422;1939.843384;2;339.277313;625.207275;2207.771240;2;339.571564;731.002563;2039.819214;2;121.518982;121.253777;2311.902588;1;127.503159;468.904144;2069.740967;1;250.175003;654.822449;2413.537842;1;246.607742;806.001709;2311.143555;2;-20.908203;-184.709549;1751.065918;2;-99.640419;-141.263626;1606.491577;2;-68.477654;-191.720963;1606.197510;2;37.703270;-238.681259;1673.744873;2;-117.962852;-186.941010;1630.636108;2;-116.587051;-242.332031;1757.923218
