timestamp;body_idx;PELVIS (c);PELVIS (x);PELVIS (y);PELVIS (z);SPINE_NAVEL (c);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_NAVEL (z);SPINE_CHEST (c);SPINE_CHEST (x);SPINE_CHEST (y);SPINE_CHEST (z);NECK (c);NECK (x);NECK (y);NECK (z);CLAVICLE_LEFT (c);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);CLAVICLE_LEFT (z);SHOULDER_LEFT (c);SHOULDER_LEFT (x);SHOULDER_LEFT (y);SHOULDER_LEFT (z);ELBOW_LEFT (c);ELBOW_LEFT (x);ELBOW_LEFT (y);ELBOW_LEFT (z);WRIST_LEFT (c);WRIST_LEFT (x);WRIST_LEFT (y);WRIST_LEFT (z);HAND_LEFT (c);HAND_LEFT (x);HAND_LEFT (y);HAND_LEFT (z);HANDTIP_LEFT (c);HANDTIP_LEFT (x);HANDTIP_LEFT (y);HANDTIP_LEFT (z);THUMB_LEFT (c);THUMB_LEFT (x);THUMB_LEFT (y);THUMB_LEFT (z);CLAVICLE_RIGHT (c);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);CLAVICLE_RIGHT (z);SHOULDER_RIGHT (c);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);SHOULDER_RIGHT (z);ELBOW_RIGHT (c);ELBOW_RIGHT (x);ELBOW_RIGHT (y);ELBOW_RIGHT (z);WRIST_RIGHT (c);WRIST_RIGHT (x);WRIST_RIGHT (y);WRIST_RIGHT (z);HAND_RIGHT (c);HAND_RIGHT (x);HAND_RIGHT (y);HAND_RIGHT (z);HANDTIP_RIGHT (c);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);HANDTIP_RIGHT (z);THUMB_RIGHT (c);THUMB_RIGHT (x);THUMB_RIGHT (y);THUMB_RIGHT (z);HIP_LEFT (c);HIP_LEFT (x);HIP_LEFT (y);HIP_LEFT (z);KNEE_LEFT (c);KNEE_LEFT (x);KNEE_LEFT (y);KNEE_LEFT (z);ANKLE_LEFT (c);ANKLE_LEFT (x);ANKLE_LEFT (y);ANKLE_LEFT (z);FOOT_LEFT (c);FOOT_LEFT (x);FOOT_LEFT (y);FOOT_LEFT (z);HIP_RIGHT (c);HIP_RIGHT (x);HIP_RIGHT (y);HIP_RIGHT (z);KNEE_RIGHT (c);KNEE_RIGHT (x);KNEE_RIGHT (y);KNEE_RIGHT (z);ANKLE_RIGHT (c);ANKLE_RIGHT (x);ANKLE_RIGHT (y);ANKLE_RIGHT (z);FOOT_RIGHT (c);FOOT_RIGHT (x);FOOT_RIGHT (y);FOOT_RIGHT (z);HEAD (c);HEAD (x);HEAD (y);HEAD (z);NOSE (c);NOSE (x);NOSE (y);NOSE (z);EYE_LEFT (c);EYE_LEFT (x);EYE_LEFT (y);EYE_LEFT (z);EAR_LEFT (c);EAR_LEFT (x);EAR_LEFT (y);EAR_LEFT (z);EYE_RIGHT (c);EYE_RIGHT (x);EYE_RIGHT (y);EYE_RIGHT (z);EAR_RIGHT (c);EAR_RIGHT (x);EAR_RIGHT (y);EAR_RIGHT (z)
333511;1;2;-30.732563;204.600677;2330.160645;2;-65.435219;64.930664;2265.976074;2;-101.304558;-14.882900;2175.346680;2;-159.582260;-98.983223;2013.162109;2;-121.707794;-90.910507;2032.518921;2;-0.851855;-54.379368;2034.056152;2;75.013710;176.220505;2059.467285;2;-39.383472;290.550934;1933.726929;2;-72.391541;308.300385;1857.376343;2;-111.293564;332.329102;1773.601074;2;-104.805992;296.033783;1828.109741;2;-178.153763;-80.918243;2048.243164;2;-257.316437;-8.085855;2092.080811;2;-297.072479;230.126205;2151.475098;2;-292.489868;435.237000;2120.707764;0;-299.172272;524.058472;2099.432373;0;-320.769623;605.318542;2057.825684;0;-288.518036;544.865234;2115.804688;2;46.026833;196.015350;2307.341553;2;103.425026;413.485657;2034.489380;2;123.353394;684.869873;2234.875977;2;125.468208;763.626221;2089.364014;2;-99.949890;212.342453;2350.737549;2;-317.662567;398.967682;2144.486816;1;-176.670547;597.002502;2384.320557;1;-257.241455;715.403076;2332.674561;2;-180.902069;-119.732735;1947.429443;2;-193.250122;-3.819875;1866.457642;2;-173.407364;-43.952877;1845.486572;2;-116.453995;-133.035980;1882.346924;2;-218.642853;-39.609821;1853.705322;2;-261.515442;-135.094467;1903.075195
366888;1;2;-59.205948;205.167648;2410.089111;2;-80.638870;57.345406;2322.222412;2;-115.528030;-8.341312;2205.339111;2;-168.582855;-105.678024;2025.940674;2;-128.294205;-95.975250;2049.381836;2;9.041845;-77.092133;2041.400879;2;85.813850;179.639099;2057.151123;2;-63.601212;307.399536;1947.108765;2;-59.269226;310.908813;1853.740356;2;-117.299492;337.454620;1770.408203;2;-124.305962;305.833588;1819.760620;2;-191.333649;-85.010056;2062.757080;2;-287.668121;-7.033363;2093.704102;2;-316.861084;261.084625;2139.152344;2;-296.255188;487.702423;2122.725586;0;-316.517303;584.840271;2105.510986;0;-339.739166;685.126770;2098.655518;0;-243.513016;599.506104;2080.777344;2;24.915524;209.264984;2382.676270;2;91.279495;372.087952;2035.829346;2;114.258293;686.182434;2233.139160;2;130.689484;769.676331;2072.288574;2;-135.061981;201.472916;2434.808105;2;-346.240753;356.538544;2148.013672;1;-214.787140;551.458130;2440.864990;1;-293.031860;691.083679;2391.737793;2;-187.645401;-130.448883;1953.009277;2;-186.699142;1.572296;1869.747925;2;-166.211349;-42.845913;1846.015015;2;-113.025726;-146.579712;1885.691284;2;-216.056335;-35.122417;1851.935791;2;-273.570526;-139.051468;1897.630737
400211;1;2;-67.663933;210.475647;2416.231934;2;-83.515373;61.031788;2329.177246;2;-116.489235;-5.571447;2211.896484;2;-166.312073;-102.314087;2030.713989;2;-126.361382;-92.524544;2054.897949;2;11.028335;-72.454651;2045.546997;2;91.245216;183.983063;2058.756104;2;-55.407898;305.160492;1937.146851;2;-51.898060;307.094147;1843.492676;2;-118.268448;339.965759;1768.797974;2;-125.491875;305.257629;1813.583984;2;-189.798920;-81.938904;2067.367920;2;-286.445740;-2.798639;2095.409424;2;-319.798096;265.998749;2137.472412;2;-298.749695;492.189514;2111.520996;0;-318.676300;590.996643;2106.296143;0;-344.127594;690.990784;2099.678223;0;-249.655319;602.097595;2091.945068;2;16.344919;217.720398;2388.498291;2;92.520332;371.757996;2038.709106;2;114.483368;688.589783;2233.277100;2;129.908478;767.538696;2069.604248;2;-143.418396;203.942749;2441.240479;2;-348.744415;353.862823;2146.416748;1;-220.911865;534.038452;2451.131348;1;-297.313263;676.447144;2406.001221;2;-184.132782;-126.798569;1957.184692;2;-197.675781;-3.661722;1861.665649;2;-174.850067;-48.661293;1841.098877;2;-111.634026;-143.952484;1887.505371;2;-224.917297;-44.098610;1849.037109;2;-271.861633;-147.215073;1907.616577
433555;1;2;-71.131897;215.134949;2413.039062;2;-86.072861;67.978188;2325.928467;2;-118.336975;0.420980;2210.916260;2;-165.784439;-95.519112;2031.525391;2;-126.514824;-85.540459;2055.660400;2;9.600103;-67.804726;2046.882446;2;90.037788;185.455444;2056.215332;2;-51.115116;300.760742;1927.440308;2;-60.988457;309.918610;1835.773071;2;-134.306641;348.983063;1773.261475;2;-125.188377;303.427032;1808.471436;2;-189.366623;-75.577576;2067.624756;2;-286.274719;0.597455;2096.220947;2;-319.210907;266.836884;2134.038330;2;-300.207886;490.295013;2106.169678;0;-312.988922;589.210205;2108.254883;0;-330.444214;689.424011;2098.457764;0;-243.423157;595.854614;2089.322754;2;11.603721;223.319809;2385.021729;2;91.881561;374.371643;2039.893433;2;112.392410;684.380066;2237.356201;2;130.470383;767.597595;2078.486572;2;-145.738251;207.754303;2438.303467;2;-347.473969;354.356049;2145.274170;1;-220.365494;522.896423;2451.576660;1;-294.357727;666.269531;2413.194336;2;-182.784454;-119.831276;1958.741577;2;-200.454102;-11.075966;1850.275513;2;-178.384628;-57.732315;1834.896362;2;-113.638718;-145.253448;1889.909912;2;-227.571075;-52.344402;1843.973511;2;-271.130310;-146.187775;1916.005371
466877;1;2;-72.207245;221.136642;2415.628906;2;-87.562988;72.232422;2329.556641;2;-119.622406;2.618492;2214.741211;2;-164.425140;-94.017441;2033.607300;2;-125.295578;-83.689117;2058.362305;2;11.208028;-63.726009;2047.783813;2;94.529411;190.211411;2058.334473;2;-43.998367;303.145874;1922.503662;2;-70.637260;310.356934;1833.483521;2;-141.167404;352.073395;1768.499268;2;-126.319916;296.157928;1809.888184;2;-188.737595;-74.207466;2069.666260;2;-286.924957;2.426863;2095.899902;2;-319.142609;270.365875;2133.861816;2;-295.681305;494.506073;2104.049072;0;-308.735840;593.950012;2107.309326;0;-327.211304;695.073792;2106.854248;0;-226.133026;595.958740;2088.224121;2;11.208013;228.620911;2387.799561;2;92.579887;370.276184;2036.444946;2;113.831001;682.060974;2235.105713;2;126.951324;768.346436;2076.171143;2;-147.426437;214.387741;2440.723877;2;-348.948242;356.289398;2142.282227;1;-219.295395;519.554932;2453.027100;1;-290.892609;665.613037;2415.992676;2;-180.460709;-118.507187;1960.162842;2;-200.138947;-19.425280;1841.907471;2;-178.930374;-67.893295;1830.249756;2;-113.232376;-151.342575;1891.692749;2;-228.058533;-60.960545;1840.207520;2;-270.831696;-147.634125;1922.302368
500222;1;2;-73.990242;225.137009;2391.854248;2;-94.957458;72.495613;2316.635986;2;-121.933777;2.666965;2201.812744;2;-166.751312;-95.478149;2023.228149;2;-128.022766;-86.378082;2048.451172;2;7.027000;-61.459202;2044.618896;2;93.459106;189.376938;2056.506104;2;-44.130825;299.729828;1920.213257;2;-69.867775;310.235291;1831.945801;2;-145.041382;348.682129;1771.493530;2;-124.300911;288.835968;1807.142944;2;-190.759064;-73.904060;2058.010254;2;-282.943207;6.763451;2089.130371;2;-318.572693;271.267365;2133.770996;2;-295.043488;493.657074;2103.119141;0;-298.938843;593.183960;2105.872803;0;-304.457825;694.078430;2120.315430;0;-222.002106;602.127930;2086.968262;2;11.621610;222.497635;2373.345947;2;95.626968;378.506409;2031.837891;2;116.249512;687.402039;2230.218262;2;130.498459;773.868164;2072.944092;2;-151.190216;227.517059;2408.543945;1;-284.337769;452.303223;2126.679443;1;-181.583405;607.490723;2448.260254;1;-229.072571;755.363525;2390.665283;2;-182.153687;-120.796402;1950.532349;2;-204.575668;-32.004623;1826.188232;2;-181.875626;-80.112640;1818.197510;2;-114.111130;-156.030396;1885.187866;2;-230.893768;-74.169571;1827.505371;2;-270.736053;-155.402939;1915.076416
533544;1;2;-80.717720;231.257706;2403.367676;2;-93.550102;82.319122;2318.310791;2;-121.596893;10.619447;2204.385010;2;-162.732666;-91.265297;2026.241333;2;-124.224564;-80.021286;2051.213379;2;11.560000;-57.462276;2044.382568;2;95.865974;195.085205;2053.726807;2;-45.243183;300.541931;1916.014526;2;-71.620377;310.843628;1827.606445;2;-145.901215;342.483948;1761.781738;2;-127.558350;284.235840;1803.896240;2;-187.642075;-70.599876;2061.144775;2;-284.683014;6.461211;2087.957520;2;-318.335876;272.198517;2131.970459;2;-291.048950;495.222748;2103.916260;0;-293.149750;595.029053;2108.936523;0;-298.913971;696.381104;2122.313721;0;-222.813599;603.514343;2091.431641;2;3.210269;238.389557;2378.217529;2;93.507408;374.807648;2028.656738;2;111.725266;682.568237;2231.141113;2;131.702393;776.490234;2078.175781;2;-156.399277;224.826599;2426.046875;2;-322.171722;428.711121;2143.936279;1;-212.877579;592.314941;2460.502930;1;-272.101410;739.958984;2412.487793;2;-177.365494;-117.936066;1953.603027;2;-210.826126;-39.139389;1824.490845;2;-189.058426;-88.144745;1818.457642;2;-115.508469;-159.293762;1885.278076;2;-237.150772;-80.888779;1831.690918;2;-269.229187;-154.453842;1929.230713
566888;1;2;-76.000725;241.503967;2391.729248;2;-93.403206;90.257172;2312.073730;2;-118.953796;17.124556;2198.636963;2;-161.978043;-92.221962;2025.682495;2;-123.326508;-80.756317;2050.239746;2;12.289018;-58.480865;2042.016235;2;95.009956;194.327179;2050.950684;2;-48.985405;302.765961;1919.022949;2;-71.636406;309.618042;1829.352661;2;-151.303284;346.546387;1773.498779;2;-129.287292;285.426270;1805.621216;2;-186.455688;-69.258553;2059.369629;2;-282.662445;8.299917;2087.143311;2;-317.824890;273.035034;2134.249268;2;-289.479645;495.642059;2105.744385;0;-288.004883;595.312561;2111.639160;0;-291.806519;697.319824;2118.250000;0;-218.073853;602.823730;2091.636719;2;9.605430;241.966080;2372.149414;2;93.543411;380.704895;2022.339355;2;110.859314;687.017212;2226.427490;2;131.642990;779.305115;2072.787842;2;-153.195557;241.087280;2409.385498;1;-275.299011;488.286255;2140.452881;1;-181.871002;649.105103;2463.034912;1;-229.128891;796.301514;2402.562500;2;-177.002594;-122.027237;1954.440552;2;-212.973267;-47.609970;1823.600586;2;-192.222229;-97.130913;1818.798218;2;-117.958832;-166.940750;1886.019653;2;-239.725311;-88.553421;1833.133179;2;-270.047180;-157.781250;1934.184570
600211;1;2;-72.265518;252.119537;2386.032959;2;-93.667450;101.222916;2307.902832;2;-117.461739;27.320303;2195.124023;2;-160.252243;-87.974983;2026.857178;2;-121.769325;-75.871086;2051.076904;2;13.765425;-55.993870;2042.842407;2;94.496628;196.611725;2049.796387;2;-49.291679;302.572540;1916.858398;2;-74.419456;311.064514;1828.305908;2;-149.231781;344.551910;1764.731689;2;-132.701675;289.421295;1805.766968;2;-184.655823;-63.634724;2059.394043;2;-282.833984;11.298090;2085.559326;2;-316.324768;275.201630;2133.484131;2;-281.696716;496.372711;2106.604004;0;-280.702942;595.822144;2110.519531;0;-287.976013;697.418335;2115.119385;0;-201.640411;608.144409;2088.315430;2;13.801694;247.874084;2370.656494;2;92.289688;383.142700;2019.601074;2;109.820534;692.933228;2216.125000;2;129.049057;791.973999;2067.247559;2;-149.876114;255.947861;2399.898682;1;-236.933350;510.018097;2125.582764;1;-158.707703;682.118958;2444.979492;1;-194.903915;829.224182;2378.433594;2;-175.082092;-120.310303;1956.972290;2;-213.056885;-53.939373;1823.000122;2;-194.541275;-104.340584;1820.987305;2;-120.757835;-172.152618;1890.038940;2;-240.920135;-92.830406;1836.339722;2;-269.878632;-153.326599;1942.743042
633555;1;2;-74.615700;260.458832;2366.664307;2;-96.259239;106.626305;2297.128906;2;-116.666298;34.617073;2183.496338;2;-161.679459;-86.247932;2021.434326;2;-123.144035;-73.767105;2044.796753;2;11.760600;-54.215355;2040.640137;2;87.321518;198.307739;2045.597778;2;-56.500465;300.498230;1912.060425;2;-79.460327;310.995239;1823.733398;2;-153.421875;342.426178;1759.171875;2;-136.262009;298.864960;1799.485596;2;-185.417664;-60.383320;2052.839600;2;-279.362823;17.101280;2083.023926;2;-312.720734;278.379608;2135.726074;2;-278.999268;497.983551;2106.669922;0;-259.753998;595.005005;2106.584961;0;-250.011414;695.830933;2104.135254;0;-190.560089;597.987793;2088.951172;2;11.388167;253.285202;2355.765137;2;94.805550;387.763397;2008.171143;2;111.368256;682.928833;2222.245117;2;131.784500;780.640259;2073.997314;2;-152.169174;266.927612;2376.492676;1;-211.950150;514.376404;2092.334473;1;-141.157837;701.503174;2402.196289;1;-170.165024;840.332397;2318.988281;2;-177.234436;-121.050026;1953.464355;2;-216.394806;-61.458080;1817.760010;2;-196.242920;-110.907288;1817.729126;2;-121.052979;-173.078125;1889.199463;2;-242.802078;-100.536819;1832.310303;2;-270.143494;-157.656128;1940.076416
666877;1;2;-80.176033;263.756256;2365.631104;2;-99.593361;107.234924;2300.484619;2;-117.632706;34.157494;2186.706299;2;-160.838089;-86.707344;2023.462524;2;-122.453812;-74.065384;2047.228760;2;12.784675;-54.342014;2042.997559;2;85.639938;199.738251;2041.648193;2;-62.329056;298.222229;1908.897339;2;-84.523178;309.241089;1820.188354;2;-165.386856;346.085297;1767.408325;2;-142.700760;299.393219;1796.165894;2;-185.023483;-61.012669;2054.851074;2;-279.393738;16.804777;2084.209473;2;-313.194885;278.444763;2138.404053;2;-278.292542;497.899200;2105.356201;0;-259.768280;595.318237;2104.238770;0;-246.795471;696.070435;2103.077637;0;-185.949387;595.418823;2094.619385;2;6.270937;256.905212;2356.325439;2;90.147263;385.054901;2005.366821;2;109.226410;678.308411;2223.453857;2;134.937088;772.974365;2073.498291;2;-158.129059;269.934143;2374.022461;1;-205.109497;501.339142;2073.092773;1;-138.773407;705.990234;2373.880615;1;-164.414368;839.538452;2280.672119;2;-175.712997;-121.450020;1955.076904;2;-218.457626;-65.237114;1818.560669;2;-198.002060;-114.707855;1819.264404;2;-120.636971;-174.917450;1890.629028;2;-244.381790;-104.170670;1834.719238;2;-268.962097;-158.899811;1944.747314
700222;1;2;-80.960106;266.862915;2363.298584;2;-100.998566;111.386490;2297.585205;2;-117.919174;37.212112;2184.989258;2;-161.799179;-86.186142;2024.881836;2;-123.408440;-72.924820;2047.928345;2;11.028528;-51.832893;2042.247803;2;81.395737;201.878662;2042.489746;2;-67.835457;297.291626;1910.357300;2;-86.421600;310.510406;1821.493042;2;-169.967819;346.074951;1772.975220;2;-145.319519;299.424347;1795.955322;2;-185.743118;-60.247517;2055.976074;2;-280.574799;15.674249;2086.677246;2;-307.914490;276.748657;2142.009277;2;-270.567841;495.057281;2110.020996;0;-250.103149;591.387146;2102.284912;0;-224.913391;689.394348;2102.680664;0;-181.726547;593.558838;2095.210693;2;5.210400;259.056580;2355.491699;2;90.207001;385.682098;2005.882324;2;108.112991;677.528137;2223.559814;2;134.571915;777.898987;2078.355225;2;-158.663834;273.902252;2370.338379;1;-197.386597;498.372009;2064.910889;1;-134.406754;713.110474;2357.501709;1;-157.824829;843.739990;2260.776611;2;-177.086441;-122.031715;1957.512207;2;-218.561707;-65.660240;1821.345825;2;-197.953506;-114.840759;1822.042969;2;-121.320435;-174.746445;1893.648804;2;-244.355774;-104.635277;1837.013550;2;-269.678711;-159.740173;1946.124756
733555;1;2;-80.577232;274.143982;2359.768555;2;-100.040527;119.126167;2292.722900;2;-116.795799;42.416512;2181.779785;2;-162.117279;-84.540192;2024.833008;2;-123.483498;-70.538269;2047.039551;2;11.354111;-51.853554;2041.779053;2;78.621346;202.749802;2040.513062;2;-72.357521;300.440002;1912.004639;2;-94.038750;310.856720;1823.450195;2;-161.723816;351.830719;1757.549194;2;-146.141266;305.172241;1796.631104;2;-185.798126;-58.141590;2055.755615;2;-281.846283;15.675269;2087.879150;2;-307.124756;277.009338;2143.229736;2;-267.655853;494.311859;2106.913574;0;-249.241806;591.203613;2100.998535;0;-225.884277;689.683533;2101.617920;0;-178.089035;589.354919;2100.815186;2;5.637847;266.735138;2351.870605;2;84.746666;389.368713;1999.383545;2;105.712524;672.097961;2228.636230;2;136.657089;772.532715;2084.320801;2;-158.321167;280.824860;2366.890625;1;-192.820877;502.029419;2058.492676;1;-126.492218;721.808289;2346.661865;1;-152.384628;849.118103;2246.158203;2;-178.130096;-121.860924;1958.421631;2;-218.997543;-71.224007;1819.805176;2;-197.254776;-119.856285;1822.491699;2;-120.244263;-175.420242;1897.168701;2;-244.098129;-110.245064;1836.483643;2;-269.666443;-162.142578;1947.128662
766888;1;2;-81.180725;275.402374;2359.550781;2;-100.958618;119.603317;2293.664795;2;-117.254929;43.001942;2182.288086;2;-161.794373;-85.192657;2025.647461;2;-123.207825;-70.960732;2047.960938;2;11.790887;-52.051670;2041.588013;2;75.676941;203.883621;2038.882690;2;-76.108521;304.345581;1912.820557;2;-96.772179;313.687469;1823.738281;2;-162.688736;354.630280;1755.776367;2;-148.914200;310.177460;1796.669800;2;-185.688522;-58.610210;2056.373047;2;-281.349426;15.758831;2089.224609;2;-307.708374;277.197083;2145.837158;2;-266.628387;494.356934;2108.073486;0;-251.956161;591.978333;2100.934082;0;-231.025803;691.161499;2098.773926;0;-188.409073;594.597961;2084.679199;2;5.203284;267.476105;2352.362549;2;84.868515;389.914001;1999.212280;2;105.463264;671.012634;2231.496826;2;135.855698;771.638489;2086.811768;2;-159.076996;282.549835;2366.032715;1;-190.518738;501.452576;2054.854980;1;-124.601097;725.267273;2340.826416;1;-148.677887;850.794800;2237.208740;2;-177.501816;-123.002846;1959.280518;2;-220.925964;-72.290672;1821.174316;2;-199.030884;-120.976898;1823.468262;2;-120.514244;-176.550323;1896.901001;2;-245.718781;-111.422104;1838.302979;2;-269.322235;-163.484772;1949.551514
800200;1;2;-73.995750;280.070709;2353.340576;2;-96.786415;124.786392;2287.214844;2;-114.750778;49.897560;2174.934326;2;-160.433334;-84.027733;2023.505249;2;-121.643272;-68.613777;2044.650024;2;13.378665;-49.105042;2041.307739;2;67.937569;208.919144;2035.143188;2;-83.176659;306.199646;1905.822876;2;-107.843124;320.582123;1818.447144;2;-168.168488;363.668732;1746.722168;2;-159.960388;324.162598;1794.014404;2;-184.113129;-56.689568;2053.729492;2;-280.128296;16.158625;2088.873291;2;-303.115479;277.091980;2149.160889;2;-262.492310;493.309998;2105.903076;0;-250.525116;591.443787;2101.143066;0;-235.944595;691.777954;2101.803711;0;-188.939224;598.355225;2092.313965;2;12.208000;270.602997;2345.863037;2;86.240517;395.452881;1992.333130;2;106.129852;669.205200;2233.289307;2;136.620285;769.455078;2088.364746;2;-151.729462;288.608185;2360.083252;1;-180.807648;510.551819;2050.837402;1;-110.965042;733.861084;2336.270508;1;-139.490005;856.089600;2229.876221;2;-176.821274;-124.240906;1958.734985;2;-225.722672;-76.216995;1821.501953;2;-202.247192;-124.170670;1823.583374;2;-119.966209;-176.565857;1895.208252;2;-248.773376;-115.941208;1839.667358;2;-267.558350;-167.664551;1951.986450
833555;1;2;-73.996872;280.069519;2353.345459;2;-96.787880;124.785904;2287.220947;2;-114.752869;49.897270;2174.941895;2;-160.437668;-84.026039;2023.513550;2;-121.647522;-68.612450;2044.657471;2;13.373762;-49.106598;2041.308594;2;67.952126;208.911926;2035.151978;2;-83.174286;306.219391;1905.868652;2;-107.867416;320.628876;1818.505493;2;-168.259613;363.771210;1746.871460;2;-159.993652;324.214630;1794.090332;2;-184.116791;-56.688171;2053.738037;2;-280.129974;16.160477;2088.883545;2;-303.110962;277.092621;2149.171143;2;-262.483215;493.307495;2105.909424;0;-250.504639;591.438904;2101.141846;0;-235.894974;691.768250;2101.796143;0;-188.909348;598.339539;2092.278564;2;12.206257;270.601776;2345.867432;2;86.232658;395.448761;1992.337769;2;106.123314;669.207031;2233.283203;2;136.609207;769.465698;2088.365234;2;-151.730026;288.606995;2360.088623;1;-180.789551;510.545563;2050.840332;1;-110.950478;733.867188;2336.261475;1;-139.466232;856.089905;2229.859619;2;-176.826553;-124.238495;1958.743652;2;-225.732620;-76.221657;1821.510986;2;-202.256210;-124.174423;1823.593628;2;-119.972603;-176.564529;1895.217773;2;-248.781799;-115.945351;1839.678589;2;-267.562256;-167.664078;1951.999756
866888;1;2;-77.721634;276.733551;2355.158447;2;-98.664169;120.830063;2291.213867;2;-115.460648;47.122269;2178.461426;2;-161.259506;-83.764565;2025.261353;2;-122.549263;-68.762207;2046.541016;2;12.018368;-49.395531;2041.171753;2;66.906792;207.781158;2036.048828;2;-85.770683;308.407654;1912.371216;2;-107.394722;320.075226;1824.076050;2;-173.278275;370.201233;1763.053467;2;-159.567001;321.972809;1798.083618;2;-184.818756;-57.037220;2055.905273;2;-280.739624;15.257030;2091.121826;2;-302.221619;276.390625;2147.415039;2;-261.666962;492.570648;2107.473145;0;-249.212326;590.335022;2102.465088;0;-233.598450;690.201782;2103.847656;0;-187.985764;599.332275;2097.729736;2;8.335858;268.122803;2347.967529;2;82.832108;393.608459;1995.987427;2;106.424171;668.779236;2233.326416;2;137.048920;773.342163;2092.180908;2;-155.323456;284.498230;2361.642578;2;-248.284607;431.196228;2022.951172;1;-157.545563;665.135986;2292.113770;1;-192.514648;790.851013;2192.686279;2;-177.707336;-122.731094;1960.024170;2;-225.753647;-78.174026;1821.830933;2;-202.384338;-125.930550;1825.186523;2;-120.733498;-176.450882;1898.258911;2;-248.847580;-117.318146;1840.785889;2;-268.163818;-166.138962;1953.898682
900222;1;2;-77.743362;276.719604;2355.200928;2;-98.693726;120.798515;2291.285400;2;-115.505875;47.050797;2178.555420;2;-161.329636;-83.910339;2025.416382;2;-122.614281;-68.892891;2046.679688;2;11.939153;-49.385429;2041.338501;2;66.527855;207.862534;2036.100586;2;-86.241928;308.324860;1912.389038;2;-107.936394;320.106079;1824.122925;2;-173.794128;370.161469;1763.008179;2;-160.144150;321.894684;1798.158203;2;-184.885193;-57.173058;2056.057129;2;-280.793884;15.139476;2091.285645;2;-302.165009;276.306213;2147.513672;2;-261.475220;492.424377;2107.329346;0;-248.666794;590.136841;2102.133789;0;-232.194611;689.870056;2103.458496;0;-187.036377;598.758850;2096.605713;2;8.316390;268.107971;2348.000000;2;82.742470;393.515961;1995.962402;2;106.366447;668.841003;2233.139648;2;136.835419;773.201843;2091.802979;2;-155.347229;284.485077;2361.694336;1;-245.393082;434.565552;2023.682373;1;-155.305801;666.033508;2295.208984;1;-189.324570;792.512085;2196.412354;2;-177.790497;-122.907448;1960.197266;2;-225.855789;-78.553009;1821.939209;2;-202.435440;-126.282570;1825.352661;2;-120.743797;-176.636719;1898.501465;2;-248.912933;-117.702156;1840.933105;2;-268.202606;-166.420090;1954.099609
933533;1;2;-77.743187;276.704559;2355.211670;2;-98.697235;120.779457;2291.305664;2;-115.512817;47.022717;2178.581787;2;-161.346786;-83.951103;2025.455444;2;-122.630074;-68.933563;2046.716919;2;11.922539;-49.414158;2041.389038;2;66.457527;207.845367;2036.121582;2;-86.295380;308.246887;1912.338745;2;-107.947998;319.981659;1824.055664;2;-173.563812;369.824066;1762.507690;2;-160.134384;321.715332;1798.055176;2;-184.900360;-57.209610;2056.094727;2;-280.796936;15.119515;2091.323242;2;-302.102203;276.293701;2147.545410;2;-261.363464;492.399170;2107.338623;0;-248.504349;590.105408;2102.146484;0;-231.888855;689.814697;2103.510254;0;-186.854034;598.682434;2096.739746;2;8.316539;268.091156;2348.009521;2;82.716850;393.450623;1995.947998;2;106.354996;668.817505;2233.077148;2;136.784500;773.080627;2091.659180;2;-155.347015;284.471619;2361.706299;2;-245.859146;434.067383;2023.602783;1;-155.675888;665.975708;2294.722900;1;-189.938400;792.270386;2195.774902;2;-177.811111;-122.953712;1960.240234;2;-225.843155;-78.628387;1821.960938;2;-202.423233;-126.357216;1825.390137;2;-120.748817;-176.695618;1898.569580;2;-248.904724;-117.773857;1840.957275;2;-268.221649;-166.468445;1954.129639
966888;1;2;-77.743378;276.703369;2355.213623;2;-98.697754;120.778381;2291.308350;2;-115.513626;47.021294;2178.584961;2;-161.348557;-83.952866;2025.459961;2;-122.631775;-68.935379;2046.720947;2;11.920556;-49.415638;2041.393066;2;66.454453;207.843613;2036.125000;2;-86.298149;308.243927;1912.341431;2;-107.950897;319.978424;1824.058716;2;-173.566452;369.820038;1762.510132;2;-160.138062;321.710388;1798.058350;2;-184.901871;-57.211189;2056.098877;2;-280.797485;15.118703;2091.327881;2;-302.098846;276.292694;2147.550049;2;-261.357513;492.397003;2107.342529;0;-248.495026;590.102661;2102.149902;0;-231.873260;689.810669;2103.514404;0;-186.842484;598.676453;2096.742188;2;8.316159;268.089844;2348.011475;2;82.715012;393.447601;1995.949585;2;106.353470;668.813232;2233.078857;2;136.782013;773.073914;2091.659424;2;-155.347046;284.470551;2361.708252;2;-245.866501;434.053223;2023.601562;1;-155.683350;665.973511;2294.710449;1;-189.951508;792.262207;2195.757080;2;-177.813232;-122.955666;1960.245117;2;-225.844498;-78.634285;1821.964600;2;-202.424423;-126.362816;1825.395264;2;-120.750412;-176.698837;1898.576416;2;-248.905960;-117.779282;1840.961792;2;-268.223358;-166.470886;1954.135132
