timestamp;body_idx;PELVIS (w);PELVIS (x);PELVIS (y);PELVIS (z);SPINE_NAVEL (w);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_NAVEL (z);SPINE_CHEST (w);SPINE_CHEST (x);SPINE_CHEST (y);SPINE_CHEST (z);NECK (w);NECK (x);NECK (y);NECK (z);CLAVICLE_LEFT (w);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);CLAVICLE_LEFT (z);SHOULDER_LEFT (w);SHOULDER_LEFT (x);SHOULDER_LEFT (y);SHOULDER_LEFT (z);ELBOW_LEFT (w);ELBOW_LEFT (x);ELBOW_LEFT (y);ELBOW_LEFT (z);WRIST_LEFT (w);WRIST_LEFT (x);WRIST_LEFT (y);WRIST_LEFT (z);HAND_LEFT (w);HAND_LEFT (x);HAND_LEFT (y);HAND_LEFT (z);HANDTIP_LEFT (w);HANDTIP_LEFT (x);HANDTIP_LEFT (y);HANDTIP_LEFT (z);THUMB_LEFT (w);THUMB_LEFT (x);THUMB_LEFT (y);THUMB_LEFT (z);CLAVICLE_RIGHT (w);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);CLAVICLE_RIGHT (z);SHOULDER_RIGHT (w);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);SHOULDER_RIGHT (z);ELBOW_RIGHT (w);ELBOW_RIGHT (x);ELBOW_RIGHT (y);ELBOW_RIGHT (z);WRIST_RIGHT (w);WRIST_RIGHT (x);WRIST_RIGHT (y);WRIST_RIGHT (z);HAND_RIGHT (w);HAND_RIGHT (x);HAND_RIGHT (y);HAND_RIGHT (z);HANDTIP_RIGHT (w);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);HANDTIP_RIGHT (z);THUMB_RIGHT (w);THUMB_RIGHT (x);THUMB_RIGHT (y);THUMB_RIGHT (z);HIP_LEFT (w);HIP_LEFT (x);HIP_LEFT (y);HIP_LEFT (z);KNEE_LEFT (w);KNEE_LEFT (x);KNEE_LEFT (y);KNEE_LEFT (z);ANKLE_LEFT (w);ANKLE_LEFT (x);ANKLE_LEFT (y);ANKLE_LEFT (z);FOOT_LEFT (w);FOOT_LEFT (x);FOOT_LEFT (y);FOOT_LEFT (z);HIP_RIGHT (w);HIP_RIGHT (x);HIP_RIGHT (y);HIP_RIGHT (z);KNEE_RIGHT (w);KNEE_RIGHT (x);KNEE_RIGHT (y);KNEE_RIGHT (z);ANKLE_RIGHT (w);ANKLE_RIGHT (x);ANKLE_RIGHT (y);ANKLE_RIGHT (z);FOOT_RIGHT (w);FOOT_RIGHT (x);FOOT_RIGHT (y);FOOT_RIGHT (z);HEAD (w);HEAD (x);HEAD (y);HEAD (z);NOSE (w);NOSE (x);NOSE (y);NOSE (z);EYE_LEFT (w);EYE_LEFT (x);EYE_LEFT (y);EYE_LEFT (z);EAR_LEFT (w);EAR_LEFT (x);EAR_LEFT (y);EAR_LEFT (z);EYE_RIGHT (w);EYE_RIGHT (x);EYE_RIGHT (y);EYE_RIGHT (z);EAR_RIGHT (w);EAR_RIGHT (x);EAR_RIGHT (y);EAR_RIGHT (z)
401177;1;0.751189;-0.197789;0.430669;-0.459477;0.810403;-0.132555;0.455000;-0.344458;0.827816;-0.022458;0.476069;-0.295930;0.848882;0.015792;0.476336;-0.228592;0.886810;-0.282941;-0.363177;0.040189;0.707375;-0.210282;-0.499058;0.454250;0.414075;-0.418671;-0.343499;0.731618;0.392861;-0.001623;0.752110;0.529139;0.328282;0.086347;0.747138;0.571453;0.328282;0.086347;0.747138;0.571453;0.110118;-0.073780;0.989547;0.056809;0.114366;0.892427;-0.429874;0.075514;0.039282;0.723815;-0.684077;-0.081168;-0.046068;-0.662774;0.743370;0.077519;0.477615;0.630526;-0.179252;-0.584970;0.571678;0.589970;-0.285708;-0.493447;0.571678;0.589970;-0.285708;-0.493447;0.277301;0.815889;-0.501950;-0.073991;-0.247870;0.137484;-0.238171;0.928942;0.839886;0.075468;0.264461;-0.467927;0.683883;-0.123493;0.314666;-0.646560;0.942581;0.134331;0.304939;0.022546;0.600618;0.203056;0.655878;0.409695;0.129125;0.609983;0.315045;0.715538;0.418164;0.456069;0.473412;0.626914;-0.144545;0.661508;0.015818;0.735706;0.607780;-0.417995;0.326630;-0.590928;0.607780;-0.417995;0.326630;-0.590928;0.847615;-0.064605;0.526530;0.011916;0.590928;0.326630;0.417995;0.607780;0.847615;-0.064605;0.526530;0.011916;0.607780;-0.417995;0.326630;-0.590928
434522;1;0.743860;-0.211190;0.491950;-0.400070;0.826399;-0.064164;0.531506;-0.174493;0.794434;-0.019383;0.528438;-0.298751;0.815833;0.023057;0.528290;-0.234081;0.933162;-0.225137;-0.274688;-0.055385;0.686891;-0.203908;-0.466442;0.518685;0.249231;-0.439632;-0.256652;0.823855;0.307819;0.350518;0.708490;0.529553;0.507861;0.006650;0.790428;0.342427;0.507861;0.006650;0.790428;0.342427;0.006211;0.159451;0.985808;-0.052145;0.125972;0.895793;-0.413179;0.104737;-0.027321;0.709145;-0.704302;-0.018038;0.026194;-0.665784;0.745426;0.019639;-0.006558;-0.649839;0.757288;0.064666;-0.016451;-0.525301;0.848431;0.062882;-0.016451;-0.525301;0.848431;0.062882;-0.036548;0.639009;-0.569411;0.515852;-0.142929;0.319524;-0.162373;0.922557;0.847524;-0.041601;0.356040;-0.391418;0.676268;-0.182144;0.329451;-0.633204;0.928061;0.103166;0.356848;0.026828;0.643455;0.101544;0.714991;0.253853;0.196203;0.625878;0.360136;0.663388;0.449535;0.449002;0.541029;0.551002;-0.068505;0.703925;0.068354;0.703651;0.620782;-0.391133;0.350841;-0.581855;0.620782;-0.391133;0.350841;-0.581855;0.850393;-0.028491;0.524655;0.027526;0.581855;0.350841;0.391133;0.620782;0.850393;-0.028491;0.524655;0.027526;0.620782;-0.391133;0.350841;-0.581855
467844;1;0.744437;-0.213041;0.497344;-0.391250;0.822770;-0.069791;0.536532;-0.174104;0.793168;-0.016274;0.535047;-0.290421;0.813903;0.026685;0.534629;-0.225879;0.939486;-0.209294;-0.262893;-0.066705;0.686909;-0.202713;-0.453245;0.530690;0.246682;-0.429546;-0.249026;0.832240;0.289992;0.388342;0.692276;0.534648;0.509033;0.013175;0.793651;0.332911;0.509033;0.013175;0.793651;0.332911;-0.003217;0.200476;0.976500;-0.079043;0.119890;0.900004;-0.404935;0.107921;0.033253;-0.705159;0.708249;0.005277;0.032918;-0.665705;0.745455;0.007073;0.025125;-0.637278;0.770224;0.000513;0.024881;-0.539897;0.841356;0.003535;0.024881;-0.539897;0.841356;0.003535;-0.142435;0.603796;-0.523865;0.583703;-0.140461;0.330780;-0.158089;0.919708;0.843420;-0.051736;0.362997;-0.392683;0.666126;-0.186069;0.328983;-0.642981;0.927770;0.099973;0.359284;0.012762;0.643384;0.100262;0.716542;0.250144;0.204804;0.623148;0.367517;0.659298;0.454126;0.445450;0.545158;0.546028;-0.061712;0.704309;0.073748;0.703350;0.615497;-0.391793;0.351830;-0.586411;0.615497;-0.391793;0.351830;-0.586411;0.849877;-0.028259;0.525821;0.020567;0.586411;0.351830;0.391793;0.615497;0.849877;-0.028259;0.525821;0.020567;0.615497;-0.391793;0.351830;-0.586411
501188;1;0.740881;-0.229649;0.498801;-0.386722;0.819573;-0.080649;0.543173;-0.163581;0.790906;-0.013276;0.540302;-0.286994;0.811374;0.030095;0.539627;-0.222644;0.943668;-0.204287;-0.252751;-0.062250;0.692614;-0.194573;-0.437165;0.539735;0.252954;-0.411541;-0.244143;0.840858;0.299475;0.405437;0.700892;0.504664;0.508149;0.010533;0.809640;0.293524;0.508149;0.010533;0.809640;0.293524;-0.015630;0.240181;0.965116;-0.103052;0.115224;0.895884;-0.416699;0.102355;0.027622;-0.703336;0.710293;0.006238;0.027286;-0.667943;0.743673;0.007574;0.029297;-0.596445;0.802020;0.012605;0.029008;-0.578341;0.815171;0.013258;0.029008;-0.578341;0.815171;0.013258;-0.078790;0.620618;-0.511385;0.589161;-0.133855;0.335831;-0.150929;0.920066;0.842318;-0.058419;0.363574;-0.393576;0.672398;-0.180088;0.327794;-0.638749;0.929208;0.103420;0.354217;0.020166;0.652152;0.093800;0.712564;0.241146;0.217122;0.616112;0.369929;0.660619;0.451095;0.445071;0.547614;0.546391;-0.064108;0.705759;0.075772;0.701465;0.626368;-0.360896;0.357902;-0.591036;0.626368;-0.360896;0.357902;-0.591036;0.860834;-0.002117;0.508267;0.024983;0.591036;0.357902;0.360896;0.626368;0.860834;-0.002117;0.508267;0.024983;0.626368;-0.360896;0.357902;-0.591036
534511;1;0.739782;-0.228775;0.504812;-0.381509;0.818202;-0.074094;0.549257;-0.152880;0.783705;-0.021455;0.546982;-0.293523;0.804720;0.022479;0.546941;-0.229730;0.942174;-0.213166;-0.249667;-0.067337;0.686104;-0.195089;-0.447505;0.539390;0.249470;-0.417450;-0.253094;0.836328;0.301687;0.392759;0.707353;0.504358;0.513412;-0.013437;0.808967;0.286007;0.513412;-0.013437;0.808967;0.286007;-0.007702;0.239241;0.965146;-0.105821;0.128928;0.900472;-0.406098;0.087254;0.013325;-0.703329;0.710619;0.013084;0.012725;-0.670785;0.741416;0.013668;0.015173;-0.596763;0.802062;0.018435;0.015117;-0.594325;0.803870;0.018481;0.015117;-0.594325;0.803870;0.018481;-0.085121;0.626256;-0.510604;0.582960;-0.138829;0.347604;-0.141014;0.916522;0.843406;-0.071916;0.368212;-0.384597;0.689888;-0.155690;0.324438;-0.628136;0.934025;0.118475;0.334614;0.039937;0.641350;0.099053;0.719489;0.247374;0.216048;0.618770;0.380125;0.652649;0.457672;0.428464;0.575072;0.525592;-0.044608;0.713246;0.106847;0.691284;0.633794;-0.374612;0.366373;-0.568983;0.633794;-0.374612;0.366373;-0.568983;0.850492;-0.005826;0.523956;0.045828;0.568983;0.366373;0.374612;0.633794;0.850492;-0.005826;0.523956;0.045828;0.633794;-0.374612;0.366373;-0.568983
567855;1;0.741825;-0.234450;0.502755;-0.376783;0.817971;-0.083157;0.548465;-0.152296;0.785320;-0.020113;0.546646;-0.289906;0.806039;0.023789;0.546499;-0.225995;0.946427;-0.204581;-0.238970;-0.072912;0.692483;-0.195674;-0.429287;0.545795;0.247981;-0.408265;-0.236423;0.846126;0.286167;0.401405;0.698977;0.518086;0.504316;0.004831;0.806022;0.309790;0.504316;0.004831;0.806022;0.309790;-0.024672;0.254953;0.963923;-0.072408;0.125145;0.900588;-0.406061;0.091622;0.008607;-0.703488;0.710549;0.012295;0.007983;-0.667195;0.744731;0.012708;0.011719;-0.603194;0.797307;0.017906;0.011434;-0.590510;0.806746;0.018089;0.011434;-0.590510;0.806746;0.018089;-0.127006;0.618790;-0.512337;0.581789;-0.137102;0.348766;-0.141558;0.916257;0.839807;-0.074407;0.369023;-0.391164;0.658904;-0.204742;0.324532;-0.646997;0.925535;0.083544;0.369299;0.004916;0.645959;0.098602;0.717081;0.242505;0.222184;0.616944;0.378424;0.653308;0.459987;0.426211;0.578685;0.521422;-0.040004;0.714183;0.110972;0.689948;0.627890;-0.376570;0.391540;-0.557356;0.627890;-0.376570;0.391540;-0.557356;0.838096;0.010586;0.543136;0.049875;0.557356;0.391540;0.376570;0.627890;0.838096;0.010586;0.543136;0.049875;0.627890;-0.376570;0.391540;-0.557356
601177;1;0.734746;-0.260214;0.507105;-0.367806;0.810024;-0.101205;0.560914;-0.137817;0.782965;-0.026371;0.551475;-0.286611;0.803427;0.017938;0.551814;-0.222900;0.945540;-0.208867;-0.242029;-0.061243;0.689077;-0.197217;-0.440689;0.540436;0.234687;-0.420038;-0.238053;0.843695;0.287321;0.407184;0.711442;0.495477;0.486252;0.025655;0.819323;0.302671;0.486252;0.025655;0.819323;0.302671;-0.041733;0.242985;0.965661;-0.081953;0.128396;0.899226;-0.410020;0.082400;0.010869;0.707404;-0.706194;-0.027394;-0.012357;-0.667571;0.743963;0.026756;-0.010870;-0.604669;0.795873;0.029034;-0.011205;-0.595431;0.802808;0.028906;-0.011205;-0.595431;0.802808;0.028906;-0.109783;0.627572;-0.523013;0.566179;-0.143760;0.343353;-0.138494;0.917748;0.846289;-0.072500;0.363116;-0.382996;0.664521;-0.221066;0.321854;-0.637143;0.922629;0.070139;0.378922;0.015941;0.640112;0.100246;0.720797;0.246291;0.224441;0.615608;0.387970;0.648176;0.466038;0.418906;0.584618;0.515314;-0.031352;0.713174;0.120278;0.689879;0.632774;-0.383434;0.394107;-0.545211;0.632774;-0.383434;0.394107;-0.545211;0.832961;0.007547;0.549804;0.061916;0.545211;0.394107;0.383434;0.632774;0.832961;0.007547;0.549804;0.061916;0.632774;-0.383434;0.394107;-0.545211
634522;1;0.730334;-0.264943;0.514901;-0.362346;0.802418;-0.110803;0.568367;-0.144248;0.778196;-0.034409;0.554169;-0.293469;0.799224;0.010143;0.555143;-0.230118;0.944523;-0.217499;-0.237315;-0.065209;0.690916;-0.195635;-0.439417;0.539699;0.233494;-0.418884;-0.236425;0.845057;0.312247;0.373876;0.716160;0.499834;0.508046;0.000186;0.807879;0.298700;0.508046;0.000186;0.807879;0.298700;-0.013618;0.235157;0.969567;-0.066756;0.139712;0.897457;-0.409707;0.084803;-0.009803;-0.705168;0.708613;0.022573;-0.010928;-0.668582;0.743231;0.022051;-0.003560;-0.608488;0.792982;0.030155;-0.004157;-0.592649;0.804888;0.030079;-0.004157;-0.592649;0.804888;0.030079;-0.080599;0.635547;-0.519445;0.565474;-0.139235;0.349518;-0.139208;0.916009;0.847339;-0.070443;0.369619;-0.374748;0.666026;-0.235346;0.329690;-0.626359;0.916185;0.065580;0.394582;0.024678;0.635162;0.091071;0.727446;0.243098;0.218435;0.618018;0.394236;0.644142;0.466362;0.421161;0.579326;0.519145;-0.033850;0.711066;0.114948;0.692839;0.646879;-0.370963;0.389179;-0.540808;0.646879;-0.370963;0.389179;-0.540808;0.839822;0.012881;0.537502;0.075004;0.540808;0.389179;0.370963;0.646879;0.839822;0.012881;0.537502;0.075004;0.646879;-0.370963;0.389179;-0.540808
667844;1;0.726665;-0.266858;0.520027;-0.360993;0.798165;-0.112609;0.573551;-0.145915;0.780713;-0.038938;0.550329;-0.293442;0.801731;0.005321;0.551679;-0.229889;0.943138;-0.218818;-0.240857;-0.067810;0.694219;-0.197327;-0.428650;0.543490;0.225903;-0.415939;-0.222876;0.852226;0.296644;0.386375;0.732591;0.475424;0.487199;-0.008965;0.828187;0.276879;0.487199;-0.008965;0.828187;0.276879;-0.039304;0.240958;0.965373;-0.091921;0.142180;0.898743;-0.402917;0.098507;0.013124;-0.706250;0.707839;0.001508;0.013031;-0.669567;0.742634;0.002169;-0.002757;-0.615970;0.787647;-0.013658;-0.002397;-0.595069;0.803554;-0.013725;-0.002397;-0.595069;0.803554;-0.013725;-0.134224;0.607762;-0.506543;0.596677;-0.130147;0.353176;-0.135332;0.916523;0.842732;-0.075829;0.370590;-0.383034;0.670658;-0.246975;0.336357;-0.613258;0.910311;0.062099;0.407541;0.037256;0.633002;0.081871;0.732216;0.237624;0.213900;0.620429;0.397248;0.641490;0.455536;0.432163;0.572301;0.527441;-0.047453;0.713919;0.102292;0.691089;0.640727;-0.363980;0.399364;-0.545432;0.640727;-0.363980;0.399364;-0.545432;0.838741;0.025020;0.539766;0.067383;0.545432;0.399364;0.363980;0.640727;0.838741;0.025020;0.539766;0.067383;0.640727;-0.363980;0.399364;-0.545432
701188;1;0.727188;-0.274708;0.516892;-0.358547;0.797732;-0.122045;0.572492;-0.144850;0.778203;-0.030410;0.554138;-0.293949;0.799270;0.014126;0.554792;-0.230596;0.947047;-0.209948;-0.229160;-0.080678;0.695018;-0.194567;-0.430567;0.541946;0.234831;-0.412922;-0.229651;0.849476;0.303240;0.360675;0.747366;0.468405;0.477390;-0.002025;0.829842;0.288888;0.477390;-0.002025;0.829842;0.288888;-0.034919;0.218176;0.971446;-0.086440;0.136744;0.896981;-0.410093;0.092465;-0.000686;0.710994;-0.703173;-0.005998;0.000345;-0.670004;0.742333;0.006027;-0.006120;-0.613705;0.789512;-0.000964;-0.006098;-0.597308;0.801988;-0.001090;-0.006098;-0.597308;0.801988;-0.001090;-0.119875;0.617508;-0.508399;0.588085;-0.133521;0.344873;-0.130231;0.919932;0.845713;-0.077271;0.360507;-0.385790;0.678974;-0.243819;0.329596;-0.609027;0.913188;0.059623;0.400505;0.046132;0.631051;0.077712;0.735706;0.233395;0.218935;0.618632;0.405574;0.636295;0.453607;0.435275;0.570449;0.528549;-0.049624;0.714821;0.098798;0.690512;0.641925;-0.376651;0.397258;-0.536892;0.641925;-0.376651;0.397258;-0.536892;0.833549;0.014571;0.547236;0.074270;0.536892;0.397258;0.376651;0.641925;0.833549;0.014571;0.547236;0.074270;0.641925;-0.376651;0.397258;-0.536892
734522;1;0.727147;-0.270907;0.516282;-0.362381;0.798419;-0.119809;0.570599;-0.150296;0.783743;-0.026969;0.551496;-0.284379;0.804024;0.017344;0.551883;-0.220612;0.949199;-0.200151;-0.230780;-0.075509;0.693948;-0.198682;-0.435899;0.537544;0.234043;-0.420102;-0.230211;0.846015;0.325612;0.330198;0.748992;0.473241;0.477116;0.030883;0.817965;0.319907;0.477116;0.030883;0.817965;0.319907;-0.027017;0.231597;0.971868;-0.033244;0.126315;0.898157;-0.408348;0.103005;0.000867;0.710182;-0.704003;-0.004574;-0.001124;-0.669276;0.742999;0.004518;-0.000684;-0.617479;0.786574;0.004629;-0.000851;-0.588557;0.808442;0.004601;-0.000851;-0.588557;0.808442;0.004601;-0.102565;0.618285;-0.517139;0.582899;-0.131500;0.344542;-0.136562;0.919429;0.842605;-0.073255;0.363360;-0.390665;0.667900;-0.251050;0.332611;-0.616647;0.910744;0.056544;0.407753;0.032939;0.634704;0.077754;0.733166;0.231458;0.222964;0.616555;0.404144;0.637820;0.455835;0.435933;0.566452;0.530385;-0.049354;0.712491;0.095495;0.693399;0.639625;-0.374690;0.397483;-0.540827;0.639625;-0.374690;0.397483;-0.540827;0.834706;0.016117;0.546009;0.069861;0.540827;0.397484;0.374690;0.639625;0.834706;0.016117;0.546009;0.069861;0.639625;-0.374690;0.397483;-0.540827
767855;1;0.723005;-0.267637;0.522883;-0.363631;0.794057;-0.117541;0.575517;-0.156325;0.779600;-0.026779;0.552006;-0.294613;0.800715;0.017574;0.552376;-0.231145;0.946123;-0.207901;-0.232863;-0.086046;0.694561;-0.210076;-0.437532;0.531054;0.233968;-0.431388;-0.222420;0.842433;0.282479;0.380455;0.750640;0.460434;0.435292;0.069202;0.838700;0.319867;0.435292;0.069202;0.838700;0.319867;-0.055449;0.231650;0.965562;-0.104662;0.133504;0.895534;-0.411661;0.103590;-0.004343;0.709283;-0.704906;0.002572;0.004483;-0.667966;0.744175;-0.002320;0.004545;-0.616920;0.787007;-0.002848;0.004639;-0.589917;0.807446;-0.002692;0.004639;-0.589917;0.807446;-0.002692;-0.144751;0.623390;-0.487100;0.594278;-0.131097;0.347671;-0.131528;0.919042;0.845095;-0.076335;0.363850;-0.384189;0.676102;-0.241736;0.330984;-0.612291;0.913449;0.062055;0.400019;0.041779;0.629001;0.076154;0.738532;0.230496;0.222786;0.617950;0.411413;0.631857;0.458871;0.429141;0.577986;0.520776;-0.040356;0.715764;0.108415;0.688694;0.648457;-0.384379;0.383974;-0.533216;0.648457;-0.384379;0.383974;-0.533216;0.835569;-0.000286;0.543308;0.081487;0.533216;0.383974;0.384379;0.648457;0.835569;-0.000286;0.543308;0.081487;0.648457;-0.384379;0.383974;-0.533216
801188;1;0.728381;-0.243631;0.518614;-0.375692;0.802897;-0.094108;0.565208;-0.164437;0.785093;-0.017916;0.547755;-0.288570;0.805706;0.026068;0.547428;-0.224682;0.947113;-0.197686;-0.237185;-0.087409;0.689607;-0.217017;-0.443100;0.530102;0.240624;-0.437582;-0.227938;0.835862;0.296727;0.379909;0.765158;0.426796;0.423502;0.098978;0.848529;0.301410;0.423502;0.098978;0.848529;0.301410;-0.061865;0.267530;0.954213;-0.118652;0.122321;0.899602;-0.403675;0.113138;0.006446;-0.705325;0.708763;-0.011406;0.006982;-0.670807;0.741516;-0.011087;0.014410;-0.620381;0.784156;-0.004351;0.014598;-0.582975;0.812351;-0.003671;0.014598;-0.582975;0.812351;-0.003671;-0.121828;0.618243;-0.498957;0.594959;-0.135162;0.359683;-0.130891;0.913907;0.837146;-0.088975;0.372327;-0.390696;0.664307;-0.260256;0.335543;-0.615121;0.907169;0.052071;0.416342;0.031514;0.634026;0.073815;0.734890;0.229127;0.225527;0.614630;0.409433;0.635400;0.461462;0.429547;0.570728;0.526129;-0.042318;0.710974;0.102987;0.694348;0.637301;-0.397781;0.387801;-0.534067;0.637301;-0.397781;0.387801;-0.534067;0.828283;-0.007057;0.555490;0.072997;0.534067;0.387801;0.397781;0.637301;0.828283;-0.007057;0.555490;0.072997;0.637301;-0.397781;0.387801;-0.534067
834522;1;0.727611;-0.250051;0.516102;-0.376426;0.803284;-0.097747;0.565095;-0.160775;0.780392;-0.028463;0.549622;-0.296807;0.801680;0.015704;0.550135;-0.233269;0.945478;-0.211781;-0.233406;-0.082107;0.697569;-0.212883;-0.439163;0.524608;0.240694;-0.434494;-0.222257;0.838977;0.287599;0.397676;0.778830;0.390595;0.397525;0.127358;0.865160;0.277942;0.397525;0.127358;0.865160;0.277942;-0.071061;0.277038;0.940218;-0.184907;0.136155;0.897106;-0.403424;0.117950;0.018974;-0.700607;0.712662;-0.030046;0.019938;-0.677147;0.734989;-0.029415;0.023341;-0.630589;0.775288;-0.027242;0.026515;-0.530445;0.846960;-0.024164;0.026515;-0.530445;0.846960;-0.024164;-0.145437;0.606696;-0.487621;0.610732;-0.127164;0.347317;-0.123669;0.920818;0.840190;-0.086679;0.358397;-0.397641;0.681417;-0.256254;0.333316;-0.599087;0.907981;0.053474;0.411938;0.054940;0.636132;0.070932;0.734527;0.225332;0.226217;0.614827;0.407973;0.635902;0.460135;0.435946;0.560865;0.532595;-0.047880;0.708592;0.091511;0.698019;0.654158;-0.386139;0.360760;-0.541133;0.654158;-0.386139;0.360760;-0.541133;0.845199;-0.017946;0.528137;0.079921;0.541134;0.360760;0.386139;0.654158;0.845199;-0.017946;0.528137;0.079921;0.654158;-0.386139;0.360760;-0.541133
867833;1;0.726194;-0.260926;0.514397;-0.374106;0.801426;-0.108154;0.566559;-0.158207;0.780856;-0.029670;0.549654;-0.295406;0.802031;0.014504;0.550263;-0.231835;0.945835;-0.210896;-0.232895;-0.081722;0.701131;-0.212654;-0.440606;0.518710;0.228579;-0.440007;-0.213892;0.841663;0.164738;0.545428;0.739213;0.359075;0.282863;0.243049;0.885920;0.275792;0.282863;0.243049;0.885920;0.275792;-0.143852;0.286834;0.876496;-0.358871;0.135394;0.895013;-0.409477;0.113788;0.008121;-0.701827;0.711845;-0.025483;0.009055;-0.675111;0.737231;-0.025166;0.031101;-0.633827;0.772837;-0.004440;0.031413;-0.530718;0.846966;-0.000461;0.031413;-0.530718;0.846966;-0.000461;-0.137812;0.611027;-0.505769;0.593171;-0.119472;0.353056;-0.131902;0.918521;0.836696;-0.080503;0.368246;-0.397309;0.672601;-0.263791;0.343826;-0.599838;0.902328;0.055496;0.424738;0.048182;0.638416;0.072157;0.732541;0.224947;0.228568;0.613667;0.406361;0.637213;0.463380;0.432216;0.564240;0.529247;-0.043190;0.708320;0.096506;0.697928;0.648220;-0.407160;0.364202;-0.530461;0.648220;-0.407160;0.364202;-0.530461;0.833453;-0.030376;0.545435;0.083268;0.530461;0.364202;0.407160;0.648220;0.833453;-0.030376;0.545435;0.083268;0.648220;-0.407160;0.364202;-0.530461
901188;1;0.724532;-0.252258;0.512021;-0.386333;0.803809;-0.098519;0.562222;-0.167607;0.778201;-0.024785;0.549313;-0.303388;0.800025;0.019346;0.549531;-0.240004;0.943058;-0.217191;-0.237482;-0.084093;0.701920;-0.212213;-0.440783;0.517671;0.238324;-0.437584;-0.218733;0.838974;0.171104;0.555657;0.760419;0.289365;0.257562;0.271286;0.901884;0.216033;0.257562;0.271286;0.901884;0.216033;-0.184452;0.293235;0.852576;-0.391286;0.137768;0.893741;-0.413203;0.107287;0.011569;-0.701639;0.711881;-0.028205;0.012508;-0.677386;0.734996;-0.027801;0.026713;-0.624360;0.780540;-0.014762;0.028261;-0.528397;0.848449;-0.011523;0.028261;-0.528397;0.848449;-0.011523;-0.108830;0.610369;-0.502372;0.602684;-0.121176;0.349350;-0.128733;0.920162;0.837524;-0.082503;0.363111;-0.399871;0.678056;-0.269266;0.343396;-0.591451;0.900307;0.051364;0.428304;0.058000;0.635781;0.071958;0.734727;0.225346;0.225823;0.615732;0.407147;0.635696;0.467113;0.428900;0.567091;0.525602;-0.037947;0.707975;0.100835;0.697972;0.635917;-0.413616;0.350598;-0.549193;0.635917;-0.413616;0.350598;-0.549193;0.837999;-0.044560;0.540381;0.061323;0.549193;0.350598;0.413616;0.635917;0.837999;-0.044560;0.540381;0.061323;0.635917;-0.413616;0.350598;-0.549193
934522;1;0.717517;-0.258392;0.511200;-0.396330;0.802374;-0.096523;0.564601;-0.167643;0.772924;-0.025348;0.550319;-0.314794;0.795678;0.018866;0.550580;-0.251797;0.940446;-0.230859;-0.236709;-0.078962;0.712973;-0.209480;-0.433174;0.510046;0.247260;-0.431901;-0.212093;0.841035;0.087230;0.566672;0.813095;0.100749;0.108328;0.361337;0.922863;0.077618;0.108328;0.361337;0.922863;0.077618;-0.289422;0.330799;0.747446;-0.498129;0.145227;0.885291;-0.427541;0.111257;0.018905;-0.701721;0.711380;-0.034194;0.020216;-0.673629;0.738036;-0.033436;0.027441;-0.609357;0.791934;-0.027786;0.029633;-0.542167;0.839363;-0.025435;0.029633;-0.542167;0.839363;-0.025435;-0.106200;0.610313;-0.481778;0.619782;-0.123501;0.330306;-0.128270;0.926926;0.844646;-0.072355;0.346925;-0.401224;0.672005;-0.278936;0.329492;-0.601697;0.903219;0.034640;0.425238;0.046561;0.636559;0.070267;0.734563;0.224216;0.223420;0.616947;0.404707;0.636923;0.457375;0.436522;0.564516;0.530639;-0.048451;0.711553;0.093701;0.694669;0.655470;-0.396343;0.322998;-0.555827;0.655470;-0.396343;0.322998;-0.555827;0.856516;-0.051862;0.508651;0.070458;0.555827;0.322998;0.396343;0.655470;0.856516;-0.051862;0.508651;0.070458;0.655470;-0.396343;0.322998;-0.555827
967855;1;0.716224;-0.258142;0.506526;-0.404742;0.804924;-0.093418;0.560785;-0.169975;0.771869;-0.026763;0.544751;-0.326724;0.795584;0.017008;0.545143;-0.263773;0.937317;-0.243392;-0.236845;-0.078112;0.707368;-0.217253;-0.430865;0.516515;0.244728;-0.435157;-0.208523;0.840990;0.086921;0.599711;0.788664;0.103921;0.113278;0.345794;0.928478;0.074317;0.113278;0.345794;0.928478;0.074317;-0.318388;0.332835;0.745561;-0.481653;0.153515;0.881971;-0.432357;0.107833;0.008336;-0.697161;0.716264;-0.029388;0.009160;-0.676731;0.735596;-0.029142;0.021758;-0.611757;0.790541;-0.018033;0.023317;-0.536888;0.843180;-0.015967;0.023317;-0.536888;0.843180;-0.015967;-0.126214;0.604351;-0.498933;0.608190;-0.121274;0.319037;-0.113160;0.933115;0.850265;-0.077555;0.329563;-0.403018;0.679582;-0.252822;0.306852;-0.616515;0.918843;0.037180;0.390682;0.041376;0.639334;0.073111;0.731220;0.226329;0.220688;0.617875;0.397682;0.641386;0.469617;0.426719;0.567283;0.524940;-0.035693;0.706569;0.102494;0.699272;0.664957;-0.367953;0.319882;-0.565790;0.664957;-0.367953;0.319882;-0.565790;0.870270;-0.033991;0.486373;0.070121;0.565790;0.319882;0.367953;0.664957;0.870270;-0.033991;0.486373;0.070121;0.664957;-0.367953;0.319882;-0.565790
