timestamp;body_idx;PELVIS (c);PELVIS (x);PELVIS (y);PELVIS (z);SPINE_NAVEL (c);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_NAVEL (z);SPINE_CHEST (c);SPINE_CHEST (x);SPINE_CHEST (y);SPINE_CHEST (z);NECK (c);NECK (x);NECK (y);NECK (z);CLAVICLE_LEFT (c);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);CLAVICLE_LEFT (z);SHOULDER_LEFT (c);SHOULDER_LEFT (x);SHOULDER_LEFT (y);SHOULDER_LEFT (z);ELBOW_LEFT (c);ELBOW_LEFT (x);ELBOW_LEFT (y);ELBOW_LEFT (z);WRIST_LEFT (c);WRIST_LEFT (x);WRIST_LEFT (y);WRIST_LEFT (z);HAND_LEFT (c);HAND_LEFT (x);HAND_LEFT (y);HAND_LEFT (z);HANDTIP_LEFT (c);HANDTIP_LEFT (x);HANDTIP_LEFT (y);HANDTIP_LEFT (z);THUMB_LEFT (c);THUMB_LEFT (x);THUMB_LEFT (y);THUMB_LEFT (z);CLAVICLE_RIGHT (c);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);CLAVICLE_RIGHT (z);SHOULDER_RIGHT (c);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);SHOULDER_RIGHT (z);ELBOW_RIGHT (c);ELBOW_RIGHT (x);ELBOW_RIGHT (y);ELBOW_RIGHT (z);WRIST_RIGHT (c);WRIST_RIGHT (x);WRIST_RIGHT (y);WRIST_RIGHT (z);HAND_RIGHT (c);HAND_RIGHT (x);HAND_RIGHT (y);HAND_RIGHT (z);HANDTIP_RIGHT (c);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);HANDTIP_RIGHT (z);THUMB_RIGHT (c);THUMB_RIGHT (x);THUMB_RIGHT (y);THUMB_RIGHT (z);HIP_LEFT (c);HIP_LEFT (x);HIP_LEFT (y);HIP_LEFT (z);KNEE_LEFT (c);KNEE_LEFT (x);KNEE_LEFT (y);KNEE_LEFT (z);ANKLE_LEFT (c);ANKLE_LEFT (x);ANKLE_LEFT (y);ANKLE_LEFT (z);FOOT_LEFT (c);FOOT_LEFT (x);FOOT_LEFT (y);FOOT_LEFT (z);HIP_RIGHT (c);HIP_RIGHT (x);HIP_RIGHT (y);HIP_RIGHT (z);KNEE_RIGHT (c);KNEE_RIGHT (x);KNEE_RIGHT (y);KNEE_RIGHT (z);ANKLE_RIGHT (c);ANKLE_RIGHT (x);ANKLE_RIGHT (y);ANKLE_RIGHT (z);FOOT_RIGHT (c);FOOT_RIGHT (x);FOOT_RIGHT (y);FOOT_RIGHT (z);HEAD (c);HEAD (x);HEAD (y);HEAD (z);NOSE (c);NOSE (x);NOSE (y);NOSE (z);EYE_LEFT (c);EYE_LEFT (x);EYE_LEFT (y);EYE_LEFT (z);EAR_LEFT (c);EAR_LEFT (x);EAR_LEFT (y);EAR_LEFT (z);EYE_RIGHT (c);EYE_RIGHT (x);EYE_RIGHT (y);EYE_RIGHT (z);EAR_RIGHT (c);EAR_RIGHT (x);EAR_RIGHT (y);EAR_RIGHT (z)
333511;1;2;-145.283508;-194.565308;1861.242188;2;-139.420654;-376.076172;1843.036255;2;-133.415512;-520.598816;1823.863770;2;-137.619995;-742.538574;1816.344482;2;-105.280769;-707.235107;1831.253418;2;21.821960;-658.865601;1885.040894;2;67.667091;-399.115326;1986.786499;2;102.244942;-164.787491;2000.804932;2;121.899796;-99.520836;1929.682373;2;158.255554;-33.391483;1848.904419;2;146.558884;-56.842514;1971.750244;2;-169.256271;-704.555115;1805.957886;2;-277.652435;-642.399048;1756.078491;2;-347.878662;-363.686646;1775.171875;2;-372.596619;-124.923378;1764.343872;2;-343.943787;-48.391357;1696.723511;2;-319.728607;32.195671;1627.979614;2;-301.537903;-30.728497;1699.435547;2;-55.594990;-194.240250;1886.883911;2;-17.564171;207.222443;1958.431763;2;-7.832195;573.854797;2095.137939;2;71.805054;716.643005;1995.132324;2;-226.159592;-194.858429;1838.119995;2;-248.271255;213.645874;1834.635254;2;-269.803314;591.382385;1949.935913;2;-260.087769;733.486023;1845.987061;2;-134.125702;-824.575745;1800.805908;2;-60.933880;-877.132935;1663.310181;2;-57.061237;-910.813721;1709.456665;2;-59.355095;-891.929565;1837.746338;2;-101.627769;-906.462524;1680.201294;2;-209.289536;-889.461670;1758.217285
366888;1;2;-142.512741;-183.298859;1871.901611;2;-136.404297;-370.732056;1843.514893;2;-130.135620;-519.800049;1816.469849;2;-139.242004;-750.294922;1824.423828;2;-104.717484;-713.352112;1837.020264;2;28.320856;-662.353760;1889.907959;2;69.269478;-389.371307;1990.484009;2;108.391243;-146.152725;2001.234253;2;140.926788;-99.005669;1916.389404;2;167.200424;-18.079632;1839.206543;2;88.501839;-42.010120;1886.811035;2;-171.445770;-710.967163;1811.322510;2;-283.155457;-647.770508;1755.871338;2;-348.117950;-356.691620;1781.588989;2;-368.809235;-108.385666;1765.265747;2;-360.711395;-32.009445;1686.203003;2;-321.116577;60.729912;1635.393677;2;-299.931824;-25.150135;1667.391846;2;-50.079651;-184.705093;1901.077148;2;-5.360227;231.403030;1978.521118;2;16.523344;619.324646;2098.872803;2;103.012794;735.633728;1962.274658;2;-225.863724;-182.030792;1845.592773;2;-250.169571;242.277298;1856.798950;2;-273.921204;639.461182;1959.884277;2;-259.298340;753.929993;1817.542236;2;-137.524582;-836.503601;1814.079590;2;-51.066555;-875.526855;1672.000610;2;-53.256451;-916.951782;1714.663574;2;-67.229103;-915.685120;1848.706665;2;-96.233040;-905.501770;1681.323608;2;-214.268951;-892.361328;1754.106445
400222;1;2;-143.377014;-179.526855;1873.636353;2;-136.441177;-369.081390;1844.062622;2;-129.336090;-519.700195;1815.470947;2;-140.796936;-752.829407;1825.249634;2;-105.451157;-715.688782;1837.619385;2;30.218460;-664.610901;1889.063599;2;65.753967;-388.293091;1993.020752;2;102.988029;-141.709549;2002.904907;2;137.682343;-88.663368;1920.937622;2;172.020859;2.296306;1857.170166;2;96.075851;-35.310574;1888.503418;2;-173.044495;-712.805298;1811.799438;2;-285.562988;-648.108704;1755.412842;2;-349.288483;-353.197205;1783.071411;2;-369.913605;-101.903946;1765.729004;2;-371.483276;-25.939829;1684.035767;2;-321.229828;67.081123;1640.639038;2;-299.913757;-20.406418;1659.847778;2;-49.746536;-180.672943;1902.941284;2;-5.129330;239.197556;1988.317383;2;21.731949;633.653503;2103.093506;2;108.127937;739.337402;1954.757568;2;-227.807739;-178.493362;1847.210938;2;-251.941025;250.766876;1865.238892;2;-273.935669;655.067871;1960.801025;2;-258.242584;758.732605;1807.810059;2;-139.940384;-840.171875;1815.410889;2;-62.315472;-874.095581;1664.675659;2;-53.261715;-913.149475;1709.623535;2;-53.499859;-905.864746;1845.841309;2;-101.280647;-910.608887;1680.419312;2;-213.169952;-911.789795;1766.187012
433555;1;2;-143.453461;-175.654709;1873.238281;2;-136.508224;-365.891235;1844.036987;2;-129.813385;-517.317749;1817.003418;2;-140.376984;-751.250793;1826.560181;2;-105.197655;-713.844299;1839.321045;2;30.461267;-662.464844;1891.959839;2;67.407928;-384.037201;1992.476807;2;110.354561;-137.371399;1992.774292;2;135.493683;-92.525215;1902.429443;2;176.575287;9.073146;1862.476929;2;98.694221;-29.976719;1879.021240;2;-172.777328;-711.230957;1812.792480;2;-284.879517;-647.280762;1753.649414;2;-349.672089;-351.713989;1782.492676;2;-370.069733;-99.613937;1764.739746;2;-371.770416;-22.981600;1683.182983;2;-319.486694;69.835701;1640.791504;2;-299.481415;-18.284313;1658.166138;2;-49.383209;-176.665268;1902.195190;2;-5.442578;243.925919;1991.290894;2;22.404587;639.835693;2105.578857;2;106.405640;741.529053;1952.279297;2;-228.280746;-174.743454;1847.126587;2;-251.930176;255.744812;1869.137817;2;-273.962585;662.712341;1959.034790;2;-257.454956;758.607849;1800.441162;2;-139.042480;-838.862732;1816.643066;2;-56.020939;-875.572754;1668.826172;2;-53.481232;-916.891907;1712.838989;2;-61.108707;-914.000183;1849.446655;2;-99.356224;-908.630554;1681.014893;2;-216.090439;-901.433838;1760.551270
466866;1;2;-143.416473;-174.971298;1874.399902;2;-136.502411;-365.977875;1844.851074;2;-129.404297;-517.805298;1816.494629;2;-140.565704;-752.675049;1826.670654;2;-105.132820;-715.165161;1839.353394;2;31.433790;-663.414978;1891.187988;2;67.564667;-383.541687;1991.729126;2;109.090302;-135.602081;1996.208252;2;138.419724;-88.407654;1907.838867;2;178.385712;7.567667;1853.870239;2;95.248428;-29.465921;1880.692993;2;-173.022232;-712.441589;1812.786133;2;-285.562286;-648.001587;1753.565796;2;-350.605560;-351.339996;1784.094971;2;-368.535919;-98.212837;1763.255493;2;-371.036804;-18.938400;1683.617920;2;-314.875244;70.113586;1637.008667;2;-300.028595;-16.595341;1655.258545;2;-49.532993;-176.352692;1905.296875;2;-5.894896;246.134201;1994.432861;2;22.046255;644.378967;2106.879395;2;107.332069;741.427307;1950.187988;2;-228.075348;-173.725632;1846.538696;2;-253.898438;258.007080;1876.195190;2;-278.967560;668.416016;1957.424194;2;-259.383514;761.014526;1796.318481;2;-139.448685;-840.683228;1816.922485;2;-54.616028;-872.333801;1668.107056;2;-50.438004;-914.247192;1711.782349;2;-58.264626;-913.379395;1848.984863;2;-96.786247;-907.384766;1679.888428;2;-214.240967;-905.826355;1759.736938
500222;1;2;-143.851135;-174.921997;1874.781494;2;-135.816101;-365.854858;1844.933594;2;-127.665550;-517.464966;1815.640991;2;-138.684784;-752.431702;1824.041748;2;-103.248428;-714.997070;1836.953979;2;33.169159;-662.825500;1888.798096;2;69.337311;-383.517609;1990.961182;2;109.907532;-135.407898;1995.949585;2;138.555695;-91.153938;1905.841797;2;179.453552;8.000978;1858.733887;2;98.189377;-30.179873;1879.160400;2;-171.188354;-712.107910;1810.516602;2;-284.462738;-648.052612;1752.257568;2;-350.066650;-351.495453;1782.861816;2;-369.136902;-98.438858;1761.912354;2;-371.613403;-22.018023;1679.518799;2;-312.932434;69.342117;1641.192139;2;-297.009918;-15.308552;1656.613159;2;-49.608700;-175.620102;1904.617432;2;-5.971461;246.654755;1994.930298;2;22.325613;644.796143;2107.782959;2;106.786400;740.651855;1949.892700;2;-228.833679;-174.292465;1847.877197;2;-254.003174;257.617340;1876.016846;2;-278.340790;668.124023;1957.158447;2;-258.304779;760.713745;1796.084839;2;-137.536179;-840.369751;1813.619019;2;-55.178009;-876.988098;1664.535889;2;-53.388088;-919.096313;1708.194092;2;-60.748386;-917.812622;1845.430908;2;-99.339470;-909.459717;1676.435303;2;-216.266495;-900.903870;1756.635742
533544;1;2;-144.367432;-174.577042;1874.678467;2;-135.847824;-366.075989;1845.387329;2;-127.376495;-518.187012;1816.698975;2;-139.116257;-753.684937;1826.078491;2;-103.569672;-716.193848;1839.083862;2;33.080368;-663.738953;1891.215332;2;70.851410;-383.115875;1991.424927;2;113.992081;-134.751846;1994.112061;2;138.212448;-94.968170;1900.383667;2;180.564972;8.601554;1864.699829;2;98.798805;-28.443575;1877.331543;2;-171.507095;-713.230225;1812.137451;2;-283.703613;-648.601746;1751.577881;2;-349.863953;-351.405365;1782.577393;2;-368.887848;-97.626564;1762.411621;2;-371.556976;-22.575014;1678.388794;2;-312.609131;69.586617;1641.532959;2;-295.771545;-14.969252;1656.499390;2;-49.820026;-174.915939;1904.394165;2;-6.546069;248.098557;1996.738159;2;22.185417;646.762451;2111.523682;2;105.403076;740.549255;1951.082520;2;-229.624985;-174.271454;1847.882568;2;-255.686905;258.857544;1873.457397;2;-279.245941;668.299194;1965.077271;2;-264.260742;758.324951;1801.466064;2;-138.138382;-841.895508;1816.021240;2;-55.692963;-873.673462;1665.363037;2;-52.718483;-916.742737;1708.227905;2;-59.295410;-918.484070;1845.851074;2;-99.177193;-907.428772;1676.854126;2;-216.075714;-903.090576;1758.072876
566888;1;2;-143.710800;-174.202744;1873.248413;2;-135.497482;-365.753662;1844.239746;2;-127.013344;-517.774109;1815.097412;2;-138.134689;-753.226624;1826.097046;2;-102.666222;-715.557922;1838.793701;2;33.705791;-663.045471;1891.580688;2;70.888474;-382.668762;1992.675903;2;114.392570;-134.362167;1991.484497;2;139.062057;-89.882660;1900.014038;2;178.409836;10.829382;1854.166626;2;98.781197;-25.920965;1877.149292;2;-170.648895;-712.951721;1811.929199;2;-282.467560;-648.476135;1750.521362;2;-348.977875;-351.675293;1784.363037;2;-364.986237;-97.813904;1762.743652;2;-365.022736;-20.530029;1680.729736;2;-303.685974;69.416550;1642.340088;2;-297.199158;-10.358207;1661.135620;2;-49.354866;-174.746811;1903.556396;2;-6.318733;248.128586;1996.600098;2;22.073067;646.528259;2112.350342;2;106.723976;741.486694;1953.360474;2;-228.795700;-173.712112;1845.918579;2;-255.511856;259.026459;1876.726807;2;-279.511902;669.913940;1961.457153;2;-262.644196;760.474915;1798.330078;2;-136.945206;-841.498901;1816.639160;2;-52.703804;-873.604431;1667.052246;2;-50.110279;-916.510559;1710.103027;2;-58.255848;-917.774170;1847.644531;2;-96.229691;-907.429626;1678.167847;2;-214.057297;-903.101501;1758.027588
600211;1;2;-143.867767;-173.979507;1872.573975;2;-135.712784;-365.198944;1843.870972;2;-127.266037;-516.944458;1814.880615;2;-137.556198;-752.017456;1824.978027;2;-102.267433;-714.350464;1837.747681;2;33.505268;-661.521179;1890.877686;2;71.742950;-382.085205;1992.456665;2;116.152153;-134.444061;1990.004883;2;137.669418;-89.695320;1898.102661;2;178.513794;11.285931;1854.809448;2;98.977539;-26.040741;1876.711548;2;-170.161636;-711.877258;1811.032593;2;-282.197571;-647.689941;1750.366699;2;-347.816711;-351.023804;1781.681641;2;-364.419922;-97.777161;1759.150391;2;-363.383606;-20.992815;1676.973389;2;-295.361389;70.042061;1657.988281;2;-296.667694;-9.476453;1658.471191;2;-49.604961;-174.458115;1902.544067;2;-6.398830;247.876053;1994.017700;2;21.947790;645.736938;2108.737305;2;107.902481;740.873230;1951.063232;2;-228.868668;-173.547928;1845.548706;2;-255.431183;258.297913;1877.142700;2;-279.209808;668.869751;1959.397705;2;-263.621796;759.701965;1796.710938;2;-136.083099;-840.077698;1815.201416;2;-49.095764;-879.932007;1669.494751;2;-49.186363;-921.357483;1713.886597;2;-61.131001;-917.750671;1850.840942;2;-93.977448;-911.807373;1680.429443;2;-213.504181;-900.834106;1756.548706
633555;1;2;-143.809326;-173.545380;1874.937012;2;-135.685577;-365.862610;1845.570312;2;-126.772163;-518.161865;1814.628784;2;-137.164062;-754.622559;1825.825928;2;-101.725670;-716.664062;1838.674927;2;33.818096;-661.641052;1892.924805;2;71.752045;-379.743408;1993.229614;2;115.919006;-130.500870;1990.457397;2;136.761993;-90.320694;1895.608398;2;178.799805;12.344316;1855.597046;2;98.668243;-25.491610;1872.461548;2;-169.900650;-714.304504;1811.446899;2;-282.562378;-649.773621;1750.250732;2;-344.872864;-350.392029;1780.729004;2;-362.365204;-95.238808;1763.302246;2;-363.403717;-19.462488;1679.267212;2;-292.860931;70.785408;1661.475586;2;-295.170410;-9.587556;1657.838501;2;-49.102448;-174.211502;1905.498291;2;-6.199751;250.837830;1997.174072;2;21.919720;651.332947;2111.985352;2;107.830170;741.109436;1949.609131;2;-229.210709;-172.944702;1847.378784;2;-255.788452;261.888092;1874.124756;2;-280.563751;674.431702;1959.274658;2;-262.184479;763.134705;1794.402222;2;-135.628906;-843.265198;1816.405396;2;-48.383633;-879.125244;1668.552979;2;-47.811493;-921.788635;1712.272705;2;-59.209232;-921.366882;1850.163452;2;-93.137627;-911.923157;1679.039062;2;-213.139603;-903.906067;1756.395752
666888;1;2;-143.763763;-173.268250;1874.908691;2;-135.626572;-365.512939;1845.475098;2;-126.670990;-517.728638;1814.380005;2;-136.855652;-754.137634;1825.283203;2;-101.447334;-716.178345;1838.142944;2;34.079559;-661.092896;1892.230957;2;71.899956;-379.287109;1992.552612;2;115.828011;-130.081772;1989.890747;2;136.530609;-89.636131;1895.160156;2;178.321533;12.815736;1854.458862;2;98.510941;-25.027081;1872.058594;2;-169.628494;-713.840820;1810.990723;2;-282.366943;-649.335144;1750.015137;2;-344.775757;-350.111969;1780.873535;2;-362.192352;-95.032211;1763.477051;2;-362.778351;-19.210175;1679.526733;2;-292.420410;71.090057;1661.506714;2;-292.636566;-9.092071;1659.255249;2;-49.082653;-173.936386;1905.448242;2;-6.197777;250.968277;1997.150391;2;21.994831;651.339417;2111.900391;2;107.034378;740.254822;1948.674805;2;-229.141891;-172.665756;1847.369873;2;-255.803406;262.001587;1874.488647;2;-280.623199;674.338440;1959.971436;2;-262.291443;762.794006;1795.027954;2;-135.257370;-842.739136;1815.751587;2;-47.475620;-875.527039;1667.568970;2;-46.180206;-918.629028;1710.813599;2;-57.555893;-919.881348;1848.657837;2;-91.657082;-909.171936;1677.697998;2;-211.725616;-904.004517;1755.111328
700222;1;2;-143.953110;-173.814011;1873.289185;2;-134.031769;-365.833038;1844.907227;2;-123.510582;-517.745728;1814.006226;2;-135.284988;-753.665039;1826.029053;2;-99.619247;-715.952637;1838.561279;2;36.006325;-660.764832;1891.603271;2;75.234222;-379.304504;1990.971191;2;116.380302;-130.002396;1990.140503;2;133.646500;-88.887009;1895.187378;2;174.966995;12.705662;1852.423706;2;98.677368;-25.792889;1872.540771;2;-167.779739;-713.268250;1811.692871;2;-280.951813;-648.754150;1752.057861;2;-344.365173;-349.979950;1780.470093;2;-361.395752;-95.576080;1759.010254;2;-362.451294;-17.206966;1677.676270;2;-291.555725;70.432350;1651.572632;2;-289.473083;-7.507272;1658.181763;2;-49.244419;-173.348770;1903.248413;2;-6.405182;250.432663;1996.982056;2;22.014517;649.831177;2112.750732;2;106.935272;741.105164;1951.162842;2;-229.356110;-174.233536;1846.273682;2;-255.324005;259.449432;1878.637451;2;-279.591980;672.457031;1957.627075;2;-263.377991;763.239380;1794.057983;2;-134.341873;-842.183716;1816.917969;2;-48.480556;-874.060425;1667.730347;2;-46.176250;-917.093750;1710.870117;2;-55.585148;-918.485413;1848.650024;2;-92.131096;-908.069214;1678.450562;2;-210.960785;-904.054321;1757.426514
733533;1;2;-140.902679;-173.986954;1875.425537;2;-131.610703;-365.663818;1844.460083;2;-122.582794;-517.958191;1814.891357;2;-134.941727;-753.965515;1825.069092;2;-99.255966;-716.423828;1838.077759;2;36.487370;-661.320496;1890.966187;2;74.181915;-379.785461;1990.834473;2;115.123329;-130.421097;1989.033325;2;133.604523;-90.482697;1893.791626;2;176.931290;16.366802;1869.984009;2;97.126884;-24.283901;1872.454712;2;-167.274704;-713.383667;1810.863770;2;-280.373688;-648.305847;1751.658936;2;-345.526215;-350.064240;1782.094482;2;-361.669525;-95.672905;1759.433716;2;-360.837097;-17.399862;1677.984131;2;-290.810181;69.921082;1648.606812;2;-285.739349;-10.680251;1657.947632;2;-46.596214;-174.462631;1906.669189;2;-5.054083;249.866714;1998.759888;2;21.077684;649.907715;2113.036865;2;107.222893;741.516479;1952.254761;2;-225.942963;-173.558029;1847.251953;2;-252.801514;260.016663;1881.077759;2;-279.918945;673.190247;1958.553589;2;-261.876526;762.703003;1794.448853;2;-134.144455;-842.426392;1815.293091;2;-44.629002;-872.879578;1667.940186;2;-44.078430;-916.688904;1710.362183;2;-57.291348;-920.345642;1847.806030;2;-89.007599;-906.474915;1676.862671;2;-209.916580;-902.210632;1752.638672
766888;1;2;-141.055496;-174.384430;1875.020020;2;-132.250702;-366.281982;1845.544678;2;-123.374687;-518.634094;1816.384033;2;-134.568924;-754.658936;1826.468262;2;-99.096436;-716.950989;1839.537842;2;36.147682;-661.200073;1892.937622;2;74.184464;-379.329742;1991.551758;2;113.271461;-129.709900;1991.243286;2;129.230682;-85.859863;1897.296753;2;167.073273;14.813476;1849.459351;2;97.153336;-24.592556;1874.842041;2;-167.077179;-714.241943;1812.231323;2;-279.111694;-648.657349;1751.643188;2;-345.014343;-350.650482;1782.181152;2;-359.966370;-96.317383;1758.611572;2;-361.249664;-16.233765;1678.977539;2;-290.514313;70.401482;1649.354004;2;-285.337921;-9.031237;1658.014160;2;-46.657413;-174.800415;1905.926636;2;-4.999258;249.356827;1998.368896;2;21.335716;649.270752;2112.757812;2;107.902336;742.163391;1952.990601;2;-226.178391;-174.009323;1847.150146;2;-252.734634;259.668640;1878.762695;2;-279.355408;673.148071;1954.324341;2;-261.389435;762.727356;1790.287964;2;-133.316498;-843.095032;1816.667725;2;-46.032341;-874.763977;1668.275269;2;-44.195049;-917.882080;1711.347656;2;-54.956501;-919.535645;1849.017700;2;-89.817780;-908.746887;1678.498657;2;-209.405914;-904.765869;1756.308105
800211;1;2;-137.460785;-172.931732;1875.379517;2;-130.580154;-365.130127;1845.600098;2;-123.151924;-517.723206;1816.163208;2;-133.985764;-754.095581;1826.091797;2;-98.522392;-716.289429;1839.200806;2;37.613033;-661.321899;1891.762939;2;73.376984;-379.535370;1992.697632;2;114.080177;-129.831360;1990.730469;2;134.988159;-83.279594;1898.918823;2;166.948639;14.862955;1841.997070;2;98.482994;-22.434586;1875.396729;2;-166.604813;-713.664612;1811.869995;2;-278.901062;-648.830139;1750.500610;2;-344.512390;-350.564270;1783.271851;2;-358.148834;-95.714211;1760.708618;2;-361.528625;-17.093658;1679.474854;2;-291.271820;70.051376;1649.590454;2;-286.049225;-11.073075;1655.202759;2;-43.279022;-174.510162;1907.327881;2;-4.040003;250.824509;1998.221313;2;20.410645;651.481445;2112.506836;2;107.402382;740.686829;1950.527710;2;-222.388626;-171.508392;1846.570312;2;-255.087143;262.489502;1876.188477;2;-284.616852;675.885681;1954.294922;2;-261.651733;765.542053;1790.630615;2;-132.593079;-842.643372;1816.213379;2;-44.608406;-873.242249;1667.727539;2;-43.392262;-916.973938;1710.319092;2;-54.980423;-920.272888;1848.081909;2;-88.805260;-907.013977;1677.284302;2;-208.967133;-902.964417;1754.562988
833555;1;2;-137.434189;-173.104721;1875.299927;2;-130.568649;-365.225983;1845.503540;2;-123.176590;-517.771301;1816.123291;2;-134.139664;-754.038513;1826.259033;2;-98.678131;-716.253601;1839.351440;2;37.397823;-661.284302;1891.889404;2;73.036194;-379.441895;1992.368164;2;113.676903;-129.827194;1990.181274;2;135.174805;-83.163696;1898.608643;2;167.542374;16.390018;1844.531372;2;98.625633;-22.890121;1874.531616;2;-166.715240;-713.618530;1811.983887;2;-278.774933;-648.788208;1750.306274;2;-343.752472;-350.360382;1781.741821;2;-356.714783;-95.676300;1758.043945;2;-359.922516;-17.554096;1676.383545;2;-290.885590;69.732407;1644.319580;2;-284.969269;-10.990307;1652.797729;2;-43.287495;-174.692932;1907.233276;2;-4.010468;250.477081;1998.081543;2;20.568508;651.025513;2112.138916;2;107.641685;740.499939;1950.450562;2;-222.330399;-171.672562;1846.504150;2;-254.728622;262.157013;1876.469238;2;-283.995514;675.171997;1955.814087;2;-261.393890;765.224548;1792.399170;2;-132.788544;-842.562378;1816.467041;2;-44.544205;-873.681824;1668.322754;2;-43.194309;-917.132507;1711.163818;2;-54.918819;-919.643494;1848.878906;2;-88.593964;-907.566040;1678.032104;2;-208.812515;-903.550781;1755.123535
866877;1;2;-137.271835;-173.538132;1875.433960;2;-130.086075;-365.428223;1845.960449;2;-122.374367;-517.755005;1816.653320;2;-133.101608;-753.725769;1826.385254;2;-97.733452;-715.979736;1839.544067;2;38.049446;-661.330688;1892.540405;2;72.504143;-380.382263;1994.687378;2;112.232979;-130.963745;1995.775879;2;134.584671;-86.225899;1903.613037;2;168.791443;16.343937;1857.198242;2;95.182022;-26.119106;1878.546631;2;-165.662308;-713.369385;1812.174194;2;-277.557312;-648.557312;1750.633911;2;-342.566711;-350.577545;1782.157593;2;-356.956360;-96.162170;1760.245361;2;-358.579071;-17.804377;1678.978516;2;-290.313477;69.828041;1646.778442;2;-285.772308;-10.036312;1657.177856;2;-43.264351;-174.922089;1907.363892;2;-4.229959;249.529434;1998.808594;2;20.093159;649.452148;2113.031982;2;107.484222;741.408081;1953.271240;2;-222.042526;-172.290146;1846.641357;2;-253.560242;261.176483;1874.016479;2;-282.726929;673.909912;1951.787354;2;-260.712494;765.194397;1789.273560;2;-131.660797;-842.111267;1816.464233;2;-45.123180;-873.164795;1667.584229;2;-42.734444;-916.260559;1710.619141;2;-52.627598;-918.007690;1848.300171;2;-88.601814;-907.425598;1678.067505;2;-207.683685;-904.250854;1756.587280
900222;1;2;-137.259125;-173.515305;1875.435425;2;-130.067078;-365.402771;1845.963257;2;-122.358620;-517.732361;1816.680664;2;-133.087357;-753.696228;1826.502686;2;-97.717819;-715.946167;1839.643311;2;38.075031;-661.261780;1892.571777;2;72.523445;-380.232361;1994.486084;2;112.229942;-130.812698;1995.333862;2;134.519699;-86.126335;1903.132690;2;168.660141;16.500301;1856.798584;2;95.080391;-26.114799;1878.003296;2;-165.648666;-713.345276;1812.279907;2;-277.534058;-648.552856;1750.705933;2;-342.443634;-350.527374;1781.962769;2;-356.660522;-96.134903;1759.714233;2;-358.338989;-17.944328;1678.289795;2;-290.216339;69.638199;1645.659546;2;-285.578033;-10.319509;1656.313599;2;-43.252060;-174.895615;1907.362671;2;-4.224576;249.561218;1998.758301;2;20.127563;649.502380;2112.890625;2;107.370102;741.369019;1953.000854;2;-222.029434;-172.270615;1846.645264;2;-253.589066;261.183502;1874.079712;2;-282.770630;673.883606;1951.991821;2;-260.992645;765.185364;1789.458740;2;-131.648621;-842.084351;1816.614868;2;-45.003033;-873.096436;1667.791748;2;-42.565399;-916.161133;1710.853882;2;-52.512283;-917.837708;1848.530151;2;-88.432381;-907.417419;1678.278564;2;-207.549728;-904.377869;1756.746460
933544;1;2;-136.735107;-173.695129;1875.781494;2;-128.404175;-365.767242;1846.995239;2;-120.067398;-518.418945;1819.062866;2;-132.299210;-754.460754;1828.920898;2;-96.698555;-716.905273;1842.134521;2;39.767014;-661.696228;1893.044434;2;73.023308;-379.601868;1992.965454;2;113.176552;-130.116379;1989.172607;2;136.809555;-85.277664;1897.303589;2;167.419739;18.030851;1849.839233;2;94.627022;-25.180458;1871.611450;2;-164.599091;-713.884216;1814.613037;2;-277.086517;-648.638611;1754.415283;2;-341.887421;-350.032349;1782.086182;2;-357.972321;-95.840782;1757.089111;2;-357.843872;-14.226444;1678.973633;2;-289.117523;69.269890;1637.761963;2;-282.951508;-11.884473;1654.629028;2;-42.655991;-174.400848;1907.717407;2;-3.827743;250.120285;2000.231445;2;19.882534;650.415161;2114.238281;2;108.169144;742.851257;1955.083740;2;-221.570404;-173.058746;1846.983521;2;-251.879578;260.627808;1876.524170;2;-282.125641;673.231812;1955.988647;2;-261.515198;762.527527;1792.055298;2;-131.392212;-842.915344;1819.048950;2;-44.843449;-871.349915;1669.523926;2;-41.590771;-914.776733;1712.222534;2;-50.960381;-917.807983;1850.005249;2;-87.743599;-906.426025;1679.884644;2;-206.650848;-905.844849;1758.893188
